pair_id,present,x,y,theta,scale
p001,1,851.417,909.9,-1.62,9.48
p002,1,788.85,232.273,4.09,10.0
p003,1,909.719,272.205,2.75,9.13
p004,1,553.333,542.676,4.91,9.73
p005,1,219.486,242.255,1.25,10.96
p006,1,692.573,442.248,4.79,11.78
p007,1,528.319,909.989,-1.41,10.58
p008,1,794.38,204.212,4.31,10.51
p009,1,542.864,231.995,0.45,10.96
p010,1,288.689,909.913,-2.66,8.96
p011,1,532.063,820.403,-0.92,10.38
p012,1,535.251,553.461,0.13,10.51
p013,1,587.802,255.288,4.11,8.73
p014,1,637.573,257.016,4.3,8.53
p015,1,518.128,713.175,1.49,8.12
p016,1,317.879,734.105,4.6,8.27
p017,1,282.651,565.456,4.34,9.77
p018,1,496.402,366.998,-3.26,10.74
p019,1,909.101,852.448,3.85,9.76
p020,1,209.752,628.116,1.66,11.89
p021,1,909.502,719.767,-4.62,11.73
p022,1,299.894,312.752,-1.03,8.83
p023,1,756.629,469.919,3.18,11.44
p024,1,492.4,716.909,2.79,11.13
p025,1,246.61,89.928,-4.24,11.67
p026,1,135.493,228.265,4.79,11.81
p027,1,230.42,853.619,2.59,10.2
p028,1,538.542,569.856,-0.87,9.95
p029,1,249.088,454.409,-4.33,11.14
p030,1,813.926,590.798,-4.52,9.61
p031,1,262.031,233.561,0.92,11.16
p032,1,276.474,286.61,3.3,8.72
p033,1,466.829,909.947,0.39,11.89
p034,1,613.395,704.093,3.93,11.43
p035,1,224.564,434.949,-0.39,11.83
p036,1,219.703,139.061,-2.37,11.56
p037,1,229.5,828.995,3.76,10.19
p038,1,733.354,904.757,-2.43,10.87
p039,1,646.346,885.22,1.08,9.08
p040,1,226.222,518.889,2.19,11.01
p041,1,185.793,282.757,3.2,10.56
p042,1,271.664,768.615,1.23,10.83
p043,1,702.164,646.951,4.9,11.99
p044,1,615.497,909.903,1.13,9.1
p045,1,718.266,313.308,-2.47,8.26
p046,1,908.997,518.135,3.7,9.46
p047,1,673.966,671.376,1.35,8.42
p048,1,517.369,728.404,2.29,11.45
p049,1,673.595,94.559,-4.24,8.34
p050,1,442.123,455.099,0.84,11.94
p051,1,267.817,909.959,2.18,9.92
p052,1,909.63,218.422,4.87,8.37
p053,1,224.557,722.714,3.16,11.16
p054,1,460.49,641.967,3.07,11.83
p055,1,332.92,659.07,0.99,8.23
p056,1,690.654,214.939,-1.97,11.94
p057,1,238.038,319.37,3.55,8.86
p058,1,230.602,909.904,-3.36,9.15
p059,1,909.65,309.418,-0.56,8.96
p060,1,304.903,698.791,2.49,8.0
p061,1,210.098,763.332,-3.0,10.8
p062,1,778.018,870.749,-3.7,9.94
p063,1,800.98,508.084,-1.21,10.64
p064,1,858.899,495.008,4.83,9.75
p065,1,666.784,657.517,-0.82,8.4
p066,1,899.767,215.636,4.41,9.46
p067,1,740.959,468.649,1.09,11.24
p068,1,555.076,500.351,0.28,10.65
p069,1,284.61,148.568,2.64,8.17
p070,1,763.974,192.256,-4.46,10.97
p071,1,477.592,795.939,-4.82,10.06
p072,1,673.205,909.91,-4.73,11.38
p073,1,713.389,726.332,-1.51,11.91
p074,1,553.887,527.209,1.15,10.24
p075,1,257.992,248.039,-1.87,9.92
p076,1,197.875,430.21,3.16,11.99
p077,1,506.786,794.961,-1.22,10.96
p078,1,134.513,204.851,-4.01,10.55
p079,1,693.969,295.917,-0.42,8.34
p080,1,645.555,908.374,-4.21,11.81
p081,1,598.558,292.124,4.56,8.62
p082,1,531.182,269.098,0.3,11.11
p083,1,265.762,275.294,4.03,9.39
p084,1,648.929,654.831,-1.16,8.88
p085,1,292.286,909.9,2.38,9.06
p086,1,302.582,309.385,-2.3,8.11
p087,1,274.857,590.811,2.68,9.96
p088,1,909.509,107.168,4.68,8.49
p089,1,902.864,613.336,-0.72,10.0
p090,1,275.078,254.028,-4.64,9.29
p091,1,246.235,89.979,-3.41,11.81
p092,1,183.667,719.846,-1.96,11.21
p093,1,502.721,535.932,-4.1,10.14
p094,1,323.311,196.831,-3.4,8.34
p095,1,355.741,310.413,4.14,8.78
p096,1,495.289,353.435,0.95,10.97
p097,1,584.25,282.612,-4.18,9.25
p098,1,255.913,842.676,-4.14,9.53
p099,1,482.09,151.635,0.84,11.43
p100,1,333.538,279.916,-2.14,8.42
p101,1,470.242,476.66,-3.08,11.23
p102,1,610.604,316.421,-2.69,9.13
p103,1,835.248,509.189,3.4,10.24
p104,1,518.256,896.24,-3.32,10.33
p105,1,757.336,468.224,2.7,11.51
p106,1,504.514,232.143,3.58,11.04
p107,1,908.546,905.785,-4.32,9.23
p108,1,271.96,343.792,0.22,8.97
p109,1,101.032,447.386,-3.88,11.19
p110,1,786.751,909.976,-4.39,10.32
p111,1,908.095,775.869,4.16,10.52
p112,1,603.889,552.796,2.75,8.78
p113,1,790.891,246.996,1.64,10.43
p114,1,721.148,174.889,4.25,10.94
p115,1,225.962,595.982,-4.05,9.02
p116,1,515.587,797.703,0.32,10.82
p117,1,510.125,342.159,-3.58,10.77
p118,1,216.953,476.245,4.47,10.91
p119,1,193.073,235.329,2.25,11.12
p120,1,343.259,696.186,1.44,8.11
p121,1,161.653,288.83,-3.47,8.33
p122,1,906.897,583.165,0.73,9.61
p123,1,245.37,800.587,-4.84,10.02
p124,1,813.848,223.754,4.53,9.92
p125,1,245.733,189.961,-2.71,11.51
p126,1,909.654,279.108,3.79,8.73
p127,1,747.236,170.387,2.17,11.27
p128,1,246.118,829.772,0.29,10.33
p129,1,250.506,236.907,-3.51,10.37
p130,1,490.292,791.018,-2.26,10.76
p131,1,522.579,187.683,-2.7,11.38
p132,1,195.835,89.946,2.17,11.87
p133,1,461.357,721.699,4.64,11.36
p134,1,718.875,190.687,1.89,11.31
p135,1,507.311,526.144,-3.92,10.17
p136,1,571.915,909.991,-2.78,9.4
p137,1,201.434,516.254,3.76,11.59
p138,1,835.52,909.923,-2.04,9.9
p139,1,580.32,537.349,-3.48,9.58
p140,1,251.146,658.72,1.85,10.27
p141,0,0.0,0.0,0.0,0.0
p142,0,0.0,0.0,0.0,0.0
p143,0,0.0,0.0,0.0,0.0
p144,0,0.0,0.0,0.0,0.0
p145,0,0.0,0.0,0.0,0.0
p146,0,0.0,0.0,0.0,0.0
p147,0,0.0,0.0,0.0,0.0
p148,0,0.0,0.0,0.0,0.0
p149,0,0.0,0.0,0.0,0.0
p150,0,0.0,0.0,0.0,0.0
p151,0,0.0,0.0,0.0,0.0
p152,0,0.0,0.0,0.0,0.0
p153,0,0.0,0.0,0.0,0.0
p154,0,0.0,0.0,0.0,0.0
p155,0,0.0,0.0,0.0,0.0
p156,0,0.0,0.0,0.0,0.0
p157,0,0.0,0.0,0.0,0.0
p158,0,0.0,0.0,0.0,0.0
p159,0,0.0,0.0,0.0,0.0
p160,0,0.0,0.0,0.0,0.0
p161,0,0.0,0.0,0.0,0.0
p162,0,0.0,0.0,0.0,0.0
p163,0,0.0,0.0,0.0,0.0
p164,0,0.0,0.0,0.0,0.0
