pair_id,set,generator_id,gt_x,gt_y,gt_theta,gt_scale,gt_found,pred_x,pred_y,pred_theta,pred_scale,pred_found,pred_score,loc_err,scale_err,theta_err,runtime_ms
pair_001,Set A,gen_001,656.0,366.0,-0.385,8.925,1,655.7,366.3,-1.0,9.0,1,0.9971,0.42,0.07,0.61,1824.15
pair_002,Set A,gen_002,686.0,352.0,4.21,9.875,1,687.3,353.3,4.0,9.75,1,0.9987,1.84,0.12,0.21,1722.18
pair_003,Set A,gen_003,471.0,528.0,-0.273,10.763,1,260.44000244140625,528.3300170898438,0.0,10.0,1,0.9963,210.56,0.76,0.27,1525.47
pair_004,Set A,gen_004,376.0,667.0,-0.673,10.576,1,376.5199890136719,736.6400146484375,0.0,10.0,1,0.9955,69.64,0.58,0.67,1719.02
pair_005,Set A,gen_005,461.0,464.0,-4.742,11.667,1,611.7100219726562,364.8,0.0,10.0,1,0.9986,180.43,1.67,4.74,1344.21
pair_006,Set A,gen_006,328.0,710.0,0.804,8.851,1,127.69999694824219,110.75,0.0,10.0,1,0.9987,631.84,1.15,0.8,1785.29
pair_007,Set A,gen_007,501.0,458.0,-1.253,11.655,1,501.3900146484375,457.42999267578125,-1.0,11.75,1,0.9765,0.69,0.1,0.25,1310.38
pair_008,Set A,gen_008,373.0,619.0,-4.475,10.105,1,373.2,619.2,-3.5,10.25,1,0.9964,0.28,0.14,0.97,1594.2
pair_009,Set A,gen_009,443.0,487.0,3.669,11.142,1,482.9700012207031,166.2,0.0,10.0,1,0.9991,323.28,1.14,3.67,1582.55
pair_010,Set A,gen_010,454.0,550.0,1.803,10.236,1,453.2,549.2,1.5,10.25,1,0.9975,1.13,0.01,0.3,1608.19
pair_011,Set A,gen_011,503.0,469.0,-4.612,9.137,1,337.6499938964844,633.2,0.0,10.0,1,0.9991,233.03,0.86,4.61,1787.51
pair_012,Set A,gen_012,498.0,310.0,-1.617,9.951,1,827.52001953125,640.8,0.0,10.0,1,0.9991,466.92,0.05,1.62,1793.83
pair_013,Set A,gen_013,479.0,703.0,3.818,9.051,1,763.2,418.70001220703125,0.0,10.0,1,0.9991,401.99,0.95,3.82,1601.94
pair_014,Set A,gen_014,339.0,525.0,3.055,9.599,1,623.2,620.6699829101562,0.0,10.0,1,0.9991,299.87,0.4,3.06,1645.2
pair_015,Set A,gen_015,501.0,375.0,-3.699,9.086,1,500.3800048828125,660.8,0.0,10.0,1,0.9991,285.8,0.91,3.7,1781.54
pair_016,Set A,gen_016,314.0,496.0,-3.474,9.583,1,884.4199829101562,496.8,0.0,10.0,1,0.9991,570.42,0.42,3.47,1522.8
pair_017,Set A,gen_017,475.0,303.0,-4.517,9.732,1,538.4600219726562,231.8,0.0,10.0,1,0.9969,95.38,0.27,4.52,1762.4
pair_018,Set A,gen_018,489.0,517.0,-4.138,11.437,1,840.2,157.8,0.0,10.0,1,0.9984,502.36,1.44,4.14,1158.99
pair_019,Set A,gen_019,453.0,515.0,0.7,10.857,1,452.2,515.25,1.0,10.25,1,0.9321,0.84,0.61,0.3,1570.58
pair_020,Set A,gen_020,479.0,331.0,-1.047,8.081,1,479.3,331.3,-1.0,8.25,1,0.696,0.42,0.17,0.05,1458.9
pair_021,Set A,gen_021,479.0,482.0,0.115,9.068,1,334.8500061035156,242.8,0.0,10.0,1,0.9981,279.28,0.93,0.12,1839.13
pair_022,Set A,gen_022,534.0,323.0,3.758,10.146,1,102.8,442.4599914550781,0.0,10.0,1,0.9982,447.44,0.15,3.76,1559.99
pair_023,Set A,gen_023,513.0,482.0,3.763,8.637,1,0.0,0.0,0.0,0.0,0,0.4946,999.0,999.0,999.0,1650.88
pair_024,Set A,gen_024,473.0,324.0,0.983,11.979,1,473.05999755859375,323.44000244140625,1.0,12.0,1,0.9912,0.56,0.02,0.02,1105.86
pair_025,Set A,gen_025,484.0,537.0,-4.305,9.678,1,483.8,537.8,-4.0,10.0,1,0.9962,0.82,0.32,0.3,1572.11
pair_026,Set A,gen_026,526.0,293.0,-0.249,8.955,1,525.0999755859375,291.2,-5.0,9.25,1,0.9751,2.01,0.29,4.75,1824.39
pair_027,Set A,gen_027,487.0,490.0,4.625,10.295,1,927.8,169.2,0.0,10.0,1,0.9988,545.18,0.29,4.62,1500.86
pair_028,Set A,gen_028,515.0,292.0,-3.325,8.782,1,75.8,227.2,0.0,10.0,1,0.9987,443.95,1.22,3.33,1652.05
pair_029,Set A,gen_029,510.0,535.0,4.519,10.895,1,482.8,679.8,0.0,10.0,1,0.9988,147.33,0.89,4.52,1493.01
pair_030,Set A,gen_030,492.0,349.0,-4.182,10.402,1,380.8,204.2,0.0,10.0,1,0.9989,182.57,0.4,4.18,1570.14
pair_031,Set A,gen_031,521.0,537.0,0.506,9.782,1,520.989990234375,537.8,1.0,10.0,1,0.9954,0.8,0.22,0.49,1721.21
pair_032,Set A,gen_032,471.0,318.0,3.636,8.236,1,247.1999969482422,178.8,0.0,10.0,1,0.9972,263.56,1.76,3.64,1538.96
pair_033,Set A,gen_033,467.0,481.0,-1.137,8.364,1,466.20001220703125,480.7,-1.5,8.25,1,0.8274,0.85,0.11,0.36,1547.98
pair_034,Set A,gen_034,473.0,335.0,-3.576,11.1,1,471.7,334.7,-4.0,11.0,1,0.9646,1.33,0.1,0.42,1354.77
pair_035,Set A,gen_035,532.0,509.0,-1.932,9.174,1,297.2,301.010009765625,0.0,10.0,1,0.999,313.67,0.83,1.93,1744.7
pair_036,Set A,gen_036,495.0,303.0,3.337,10.213,1,364.989990234375,277.0,0.0,10.0,1,0.999,132.58,0.21,3.34,1549.91
pair_037,Set A,gen_037,507.0,471.0,4.163,11.979,1,74.94999694824219,879.8,0.0,10.0,1,0.9987,594.8,1.98,4.16,1496.78
pair_038,Set A,gen_038,462.0,330.0,4.42,11.59,1,221.6300048828125,497.2,0.0,10.0,1,0.9984,292.8,1.59,4.42,1339.48
pair_039,Set A,gen_039,482.0,475.0,1.761,11.908,1,103.2,187.8,0.0,10.0,1,0.9986,475.37,1.91,1.76,1316.36
pair_040,Set A,gen_040,535.0,311.0,2.194,9.156,1,102.2,599.1900024414062,0.0,10.0,1,0.9984,519.97,0.84,2.19,1766.91
pair_041,Set A,gen_041,462.0,496.0,3.476,10.629,1,246.8,207.97999572753906,0.0,10.0,1,0.9988,359.54,0.63,3.48,1499.55
pair_042,Set A,gen_042,486.0,305.0,3.742,10.398,1,485.2,160.41000366210938,0.0,10.0,1,0.9985,144.59,0.4,3.74,1611.05
pair_043,Set A,gen_043,537.0,494.0,-3.66,11.632,1,465.8,637.2,0.0,10.0,1,0.9988,159.92,1.63,3.66,1438.3
pair_044,Set A,gen_044,464.0,307.0,-1.395,9.008,1,248.8,306.2200012207031,0.0,10.0,1,0.9986,215.2,0.99,1.4,1779.72
pair_045,Set A,gen_045,517.0,524.0,2.503,9.838,1,516.2,523.2,2.5,10.0,1,0.9984,1.13,0.16,0.0,1874.01
pair_046,Set A,gen_046,517.0,325.0,-0.877,11.038,1,193.8,612.2,0.0,10.0,1,0.9984,432.37,1.04,0.88,1513.33
pair_047,Set A,gen_047,529.0,529.0,3.489,11.06,1,97.8,145.8,0.0,10.0,1,0.9989,576.87,1.06,3.49,1500.29
pair_048,Set A,gen_048,494.0,287.0,4.507,10.243,1,86.8,118.2,0.0,10.0,1,0.9989,440.8,0.24,4.51,1565.81
pair_049,Set A,gen_049,476.0,478.0,-4.142,10.475,1,590.8,306.17999267578125,0.0,10.0,1,0.9989,206.64,0.47,4.14,1660.56
pair_050,Set A,gen_050,476.0,298.0,2.295,8.638,1,544.8,872.22998046875,0.0,10.0,1,0.9989,578.34,1.36,2.29,1666.88
pair_051,Set A,gen_051,475.0,479.0,1.336,10.459,1,618.2,70.41000366210938,0.0,10.0,1,0.9987,432.96,0.46,1.34,1453.87
pair_052,Set A,gen_052,525.0,336.0,4.174,8.102,1,908.2,143.77999877929688,0.0,10.0,1,0.9987,428.71,1.9,4.17,1595.66
pair_053,Set A,gen_053,538.0,461.0,-2.792,8.601,1,489.6600036621094,845.1400146484375,0.0,10.0,1,0.9989,387.17,1.4,2.79,1677.74
pair_054,Set A,gen_054,466.0,336.0,-4.393,8.214,1,81.95999908447266,143.2,0.0,10.0,1,0.9989,429.72,1.79,4.39,1614.74
pair_055,Set A,gen_055,526.0,479.0,1.258,9.311,1,64.5,114.69000244140625,0.0,10.0,1,0.9988,587.97,0.69,1.26,1496.53
pair_056,Set A,gen_056,504.0,293.0,2.048,9.544,1,768.8,68.2,0.0,10.0,1,0.9987,347.35,0.46,2.05,1766.61
pair_057,Set A,gen_057,481.0,468.0,-3.276,10.072,1,480.67999267578125,84.8,0.0,10.0,1,0.9989,383.2,0.07,3.28,1498.71
pair_058,Set A,gen_058,536.0,345.0,0.789,11.497,1,535.22998046875,152.9600067138672,0.0,10.0,1,0.9987,192.04,1.5,0.79,1560.61
pair_059,Set A,gen_059,477.0,485.0,-4.157,10.716,1,476.9700012207031,100.2,0.0,10.0,1,0.9988,384.8,0.72,4.16,1496.89
pair_060,Set A,gen_060,512.0,327.0,4.843,9.265,1,863.2,103.8,0.0,10.0,1,0.9987,416.12,0.73,4.84,1607.4
pair_061,Set A,gen_001,676.0,317.0,2.393,10.852,1,674.7,316.989990234375,2.5,10.75,1,0.9978,1.3,0.1,0.11,1475.77
pair_062,Set A,gen_002,687.0,369.0,3.903,11.051,1,688.3,368.7,5.0,11.25,1,0.9974,1.33,0.2,1.1,1388.47
pair_063,Set A,gen_003,468.0,529.0,0.886,10.077,1,467.6600036621094,529.780029296875,1.0,10.25,1,0.9982,0.85,0.17,0.11,1641.5
pair_064,Set A,gen_004,357.0,654.0,-3.082,11.313,1,357.1199951171875,304.3500061035156,0.0,10.0,1,0.998,349.65,1.31,3.08,1413.64
pair_065,Set A,gen_005,501.0,460.0,-4.654,9.332,1,551.4299926757812,109.93000030517578,0.0,10.0,1,0.9987,353.68,0.67,4.65,1616.81
pair_066,Set A,gen_006,320.0,702.0,-3.058,8.693,1,670.8,51.2400016784668,0.0,10.0,1,0.9987,739.29,1.31,3.06,1619.1
pair_067,Set A,gen_007,520.0,469.0,4.247,9.769,1,518.7,469.3,4.0,9.75,1,0.9965,1.33,0.02,0.25,1528.22
pair_068,Set A,gen_008,322.0,652.0,3.852,8.172,1,462.6499938964844,652.7999877929688,0.0,10.0,1,0.9978,140.65,1.83,3.85,1570.74
pair_069,Set A,gen_009,438.0,464.0,-1.448,10.308,1,118.8,64.8,0.0,10.0,1,0.9991,511.13,0.31,1.45,1480.37
pair_070,Set A,gen_010,387.0,569.0,4.584,8.195,1,107.01000213623047,528.2,0.0,10.0,1,0.9983,282.95,1.8,4.58,1516.28
pair_071,Set B,gen_011,493.0,510.0,-4.039,9.11,1,493.3299865722656,507.6700134277344,-3.5,10.75,1,0.9859,2.35,1.64,0.54,1450.23
pair_072,Set B,gen_012,531.0,327.0,-3.171,11.95,1,531.7,670.3,-1.0,9.0,1,0.7867,343.3,2.95,2.17,1744.01
pair_073,Set B,gen_013,497.0,709.0,-3.481,10.311,1,286.8,416.2,-1.5,9.25,1,0.989,360.44,1.06,1.98,1698.49
pair_074,Set B,gen_014,322.0,462.0,3.369,11.56,1,623.8,137.4199981689453,1.0,9.25,1,0.9696,443.21,2.31,2.37,1667.63
pair_075,Set B,gen_015,474.0,389.0,-2.255,8.026,1,318.94000244140625,486.760009765625,3.5,11.75,1,0.572,183.3,3.72,5.75,1355.19
pair_076,Set B,gen_016,327.0,498.0,4.124,8.943,1,251.7,764.3,-1.0,11.0,1,0.9877,276.74,2.06,5.12,1442.98
pair_077,Set B,gen_017,460.0,288.0,0.439,9.167,1,460.75,286.2,3.5,10.25,1,0.9618,1.95,1.08,3.06,1820.02
pair_078,Set B,gen_018,487.0,533.0,-4.91,9.264,1,486.8,536.22998046875,-2.5,9.25,1,0.8538,3.24,0.01,2.41,1585.44
pair_079,Set B,gen_019,503.0,522.0,-4.19,9.34,1,502.19000244140625,524.7100219726562,-1.5,9.0,1,0.919,2.83,0.34,2.69,1556.73
pair_080,Set B,gen_020,489.0,285.0,-3.206,11.535,1,489.7,316.7,-1.0,12.0,1,0.9533,31.71,0.46,2.21,1248.64
pair_081,Set B,gen_021,494.0,525.0,-3.086,9.155,1,418.8,463.8,1.0,9.25,1,0.6957,96.96,0.1,4.09,1633.72
pair_082,Set B,gen_022,495.0,309.0,0.432,9.462,1,495.0,330.7,1.0,10.75,1,0.5451,21.7,1.29,0.57,1501.59
pair_083,Set B,gen_023,526.0,503.0,-3.508,11.99,1,521.8900146484375,502.29998779296875,1.0,12.0,1,0.9426,4.17,0.01,4.51,1216.92
pair_084,Set B,gen_024,487.0,295.0,-2.622,10.161,1,487.7,283.5799865722656,-5.0,10.75,1,0.9219,11.44,0.59,2.38,1555.94
pair_085,Set B,gen_025,474.0,537.0,3.517,9.19,1,0.0,0.0,0.0,0.0,0,0.2387,999.0,999.0,999.0,1621.23
pair_086,Set B,gen_026,461.0,305.0,2.867,10.877,1,462.3,304.9800109863281,2.5,10.75,1,0.9934,1.3,0.13,0.37,1580.45
pair_087,Set B,gen_027,467.0,514.0,2.22,11.723,1,907.8,353.2,0.0,10.0,1,0.9984,469.21,1.72,2.22,1386.57
pair_088,Set B,gen_028,530.0,338.0,-0.649,10.697,1,534.97998046875,314.07000732421875,-1.0,9.0,1,0.8724,24.44,1.7,0.35,1774.85
pair_089,Set B,gen_029,478.0,474.0,-4.55,10.454,1,222.3,741.3,-1.0,10.75,1,0.8934,369.91,0.3,3.55,1382.96
pair_090,Set B,gen_030,471.0,314.0,4.778,8.4,1,217.3,451.7,-1.0,9.0,1,0.9714,288.66,0.6,5.78,1481.99
pair_091,Set B,gen_031,509.0,464.0,3.603,9.032,1,514.3,460.3,2.5,9.0,1,0.8457,6.46,0.03,1.1,1469.43
pair_092,Set B,gen_032,509.0,299.0,2.428,11.245,1,509.3,300.2200012207031,-1.0,10.75,1,0.9771,1.26,0.49,3.43,1396.61
pair_093,Set B,gen_033,497.0,468.0,3.084,9.062,1,494.7,460.7,3.5,8.0,1,0.7113,7.65,1.06,0.42,1250.12
pair_094,Set B,gen_034,516.0,338.0,-0.376,8.487,1,512.75,368.2,-1.0,10.25,1,0.9691,30.37,1.76,0.62,1592.9
pair_095,Set B,gen_035,467.0,475.0,4.302,11.897,1,471.7,410.7,3.5,10.75,1,0.9489,64.47,1.15,0.8,1314.61
pair_096,Set B,gen_036,524.0,285.0,-3.802,9.228,1,518.7,313.45001220703125,-3.5,10.75,1,0.9912,28.94,1.52,0.3,1175.9
pair_097,Set B,gen_037,510.0,471.0,0.69,9.326,1,509.3,474.3,1.5,10.75,1,0.9839,3.37,1.42,0.81,1267.79
pair_098,Set B,gen_038,473.0,339.0,-4.413,10.62,1,468.2,315.2,-3.5,9.25,1,0.9882,24.28,1.37,0.91,1647.06
pair_099,Set B,gen_039,468.0,505.0,0.221,8.747,1,471.20001220703125,504.010009765625,-2.5,9.75,1,0.8287,3.35,1.0,2.72,1591.59
pair_100,Set B,gen_040,505.0,345.0,-2.425,11.178,1,507.8,335.8,-1.5,10.25,1,0.7949,9.62,0.93,0.92,1452.16
pair_101,Set B,gen_041,507.0,502.0,1.639,8.993,1,446.7099914550781,179.7,0.0,9.0,1,0.6343,327.89,0.01,1.64,1363.49
pair_102,Set B,gen_042,535.0,294.0,-0.804,9.614,1,530.3,326.3,-1.0,11.25,1,0.5114,32.64,1.64,0.2,1427.71
pair_103,Set B,gen_043,496.0,534.0,-1.19,10.554,1,436.3,529.3,1.0,11.75,1,0.7592,59.88,1.2,2.19,417.39
pair_104,Set B,gen_044,523.0,275.0,0.773,9.993,1,0.0,0.0,0.0,0.0,0,0.3745,999.0,999.0,999.0,486.8
pair_105,Set B,gen_045,495.0,477.0,3.546,9.053,1,212.3,91.7,1.0,9.0,1,0.613,477.89,0.05,2.55,418.39
pair_106,Set B,gen_046,508.0,299.0,4.157,11.458,1,951.7,132.7,2.5,12.0,1,0.7108,473.84,0.54,1.66,380.4
pair_107,Set B,gen_047,513.0,519.0,-3.513,11.514,1,591.8,291.8,1.0,9.25,1,0.994,240.48,2.26,4.51,637.11
pair_108,Set B,gen_048,511.0,275.0,1.32,8.942,1,0.0,0.0,0.0,0.0,0,0.3801,999.0,999.0,999.0,428.73
pair_109,Set B,gen_049,537.0,534.0,-1.936,9.096,1,532.2,530.8,-1.5,10.25,1,0.9983,5.77,1.15,0.44,413.3
pair_110,Set B,gen_050,522.0,285.0,4.503,9.173,1,504.8,501.2,1.0,10.25,1,0.9971,216.88,1.08,3.5,400.86
pair_111,Set B,gen_051,473.0,489.0,3.342,8.963,1,475.3,490.3,3.5,9.75,1,0.9964,2.64,0.79,0.16,375.28
pair_112,Set B,gen_052,519.0,293.0,1.163,10.765,1,914.3,728.3,1.5,11.0,1,0.9726,588.0,0.23,0.34,356.73
pair_113,Set B,gen_053,523.0,522.0,3.244,10.813,1,523.2,524.8,3.5,10.25,1,0.9953,2.81,0.56,0.26,411.97
pair_114,Set B,gen_054,532.0,324.0,-0.964,11.037,1,534.8,309.8,-1.0,10.25,1,0.9985,14.47,0.79,0.04,410.71
pair_115,Set B,gen_055,537.0,465.0,-1.886,10.295,1,317.739990234375,885.0700073242188,-1.0,10.0,1,0.996,473.85,0.29,0.89,400.4
pair_116,Set B,gen_056,508.0,326.0,-2.405,9.196,1,193.9600067138672,860.2,2.5,9.25,1,0.579,619.67,0.05,4.9,333.15
pair_117,Set B,gen_057,537.0,462.0,0.505,9.646,1,539.3,868.7,1.0,9.75,1,0.9935,406.71,0.1,0.49,409.42
