dataset,method,loc_score,scale_score,rotation_score,rejection_score,confidence_score,efficiency_score,total_score,set_a_5px,set_b_5px,median_rt_ms,p90_rt_ms,p95_rt_ms,max_rt_ms
DS2_60Gen,A_NCC_Only,17.87,4.75,6.47,13.33,9.92,5.0,57.34,67.1,37.1,469.4,550.0,566.7,633.4
DS2_60Gen,B_Siamese_Only,13.13,2.95,3.54,14.09,9.41,5.0,48.12,54.3,28.6,469.4,550.0,566.7,633.4
DS2_60Gen,C_Baseline_Hybrid,15.83,4.28,5.75,13.45,9.82,5.0,54.13,61.4,32.9,470.7,550.0,566.7,633.4
DS2_60Gen,D_NCC_Siam_Sharpness,13.41,3.91,5.25,13.33,9.76,5.0,50.66,50.0,31.4,469.4,550.0,566.7,633.4
DS2_60Gen,E_NCC_Siam_Isolation,16.61,4.69,6.12,13.45,9.85,5.0,55.71,65.7,32.9,469.4,550.0,566.7,633.4
DS2_60Gen,F_NCC_Siam_Consistency,15.58,4.22,5.5,13.45,9.83,5.0,53.57,60.0,32.9,469.4,550.0,566.7,633.4
DS2_60Gen,G_Combined_Algorithmic,14.75,4.34,5.72,13.95,9.79,5.0,53.55,54.3,34.3,469.4,550.0,566.7,633.4
DS1_Generic,A_NCC_Only,22.14,6.72,9.31,13.33,9.22,5.0,65.73,100.0,21.4,466.8,534.8,550.7,587.3
DS1_Generic,B_Siamese_Only,10.35,5.2,4.52,12.65,8.33,5.0,46.05,45.7,11.4,466.8,534.8,550.7,587.3
DS1_Generic,C_Baseline_Hybrid,21.07,6.79,8.61,13.73,9.05,5.0,64.24,95.7,20.0,466.8,534.8,550.7,587.3
DS1_Generic,D_NCC_Siam_Sharpness,21.07,6.75,8.44,13.67,9.05,5.0,63.99,95.7,20.0,466.8,534.8,550.7,587.3
DS1_Generic,E_NCC_Siam_Isolation,21.07,6.79,8.64,13.73,9.09,5.0,64.32,95.7,20.0,466.8,534.8,550.7,587.3
DS1_Generic,F_NCC_Siam_Consistency,21.07,6.86,8.48,13.58,8.97,5.0,63.95,95.7,20.0,466.8,534.8,550.7,587.3
DS1_Generic,G_Combined_Algorithmic,21.12,7.27,8.94,13.43,9.0,5.0,64.76,95.7,20.0,466.8,534.8,550.7,587.3
