pair_id,set,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,runtime_ms
PAIR_001,Set A,1,1,670.625,454.754,669.7,453.7,1.4023341256633457,8.025,8.0,0.025000000000000355,1.828,2.25,0.42199999999999993,0.9986,785.7394218444824
PAIR_002,Set A,1,1,743.676,624.792,744.8,625.8,1.509781441136314,9.962,10.0,0.038000000000000256,-1.759,-2.25,0.4910000000000001,0.9989,640.0291919708252
PAIR_003,Set A,1,0,452.456,486.442,0.0,0.0,999.0,8.544,0.0,999.0,1.242,0.0,999.0,0.9937,663.9001369476318
PAIR_004,Set A,1,1,586.507,384.594,586.2,384.0,0.6686441505015454,11.527,11.9,0.3730000000000011,-4.099,-4.75,0.6509999999999998,0.9988,599.9672412872314
PAIR_005,Set A,1,1,275.252,577.844,276.0,577.0,1.1277588394688252,10.49,10.9,0.41000000000000014,3.99,4.75,0.7599999999999998,0.9989,593.6079025268555
PAIR_006,Set A,1,1,320.213,468.665,319.2,468.2,1.114627291968081,11.88,11.9,0.019999999999999574,-1.344,-5.25,3.9059999999999997,0.9963,584.1333866119385
PAIR_007,Set A,1,1,507.0,492.158,507.3,490.7,1.4885442553045192,9.631,9.9,0.26900000000000013,-1.679,-2.25,0.571,0.9989,707.3309421539307
PAIR_008,Set A,1,1,506.136,381.201,505.89,381.8,0.6475469094976873,11.052,11.1,0.04800000000000004,-1.179,-4.75,3.5709999999999997,0.9976,593.8141345977783
PAIR_009,Set A,1,1,616.475,671.959,632.42,670.7,15.994627410477486,8.469,8.1,0.3689999999999998,2.722,2.75,0.028000000000000025,0.9972,691.5576457977295
PAIR_010,Set A,1,0,372.128,273.144,0.0,0.0,999.0,10.922,0.0,999.0,-0.205,0.0,999.0,0.9963,587.0513916015625
PAIR_011,Set A,1,1,657.77,509.443,658.58,508.41,1.3127029366920797,8.772,8.9,0.1280000000000001,-2.146,-2.5,0.3540000000000001,0.9982,672.5478172302246
PAIR_012,Set A,1,1,733.494,676.633,700.82,676.5,32.67427068811175,8.372,8.1,0.27200000000000024,-0.061,-0.25,0.189,0.9985,746.2179660797119
PAIR_013,Set A,1,1,620.677,674.949,620.5,673.7,1.2614792903570722,8.276,8.1,0.17600000000000016,-2.348,-2.75,0.40200000000000014,0.9986,689.002275466919
PAIR_014,Set A,1,1,559.854,439.078,558.76,439.2,1.1007815405429522,10.579,10.9,0.32099999999999973,-1.962,-5.25,3.2880000000000003,0.9983,688.4973049163818
PAIR_015,Set A,1,1,354.096,642.902,353.2,643.8,1.2685503537502432,10.904,10.9,0.0039999999999995595,-3.36,-4.75,1.3900000000000001,0.9989,598.3057022094727
PAIR_016,Set A,1,1,498.774,294.074,498.92,293.7,0.4014872351644845,8.88,9.0,0.11999999999999922,-4.151,-4.75,0.5990000000000002,0.9986,684.0415000915527
PAIR_017,Set A,1,0,448.303,545.919,0.0,0.0,999.0,9.938,0.0,999.0,0.092,0.0,999.0,0.9962,659.174919128418
PAIR_018,Set A,1,1,674.541,745.125,674.2,746.8,1.7093583591511328,9.371,9.1,0.2710000000000008,-2.252,-2.25,0.0019999999999997797,0.9985,682.4157238006592
PAIR_019,Set A,1,1,644.223,702.737,644.8,702.2,0.7882245872845587,8.917,8.9,0.01699999999999946,-3.157,-2.75,0.40700000000000003,0.9988,657.9294204711914
PAIR_020,Set A,1,1,567.759,647.544,855.8,647.0,288.04151370418805,11.068,11.1,0.03200000000000003,0.289,0.0,0.289,0.9989,578.209400177002
PAIR_021,Set A,1,1,541.409,518.575,540.6,568.8,50.23151506773403,11.611,11.9,0.2889999999999997,0.859,0.25,0.609,0.9988,546.6535091400146
PAIR_022,Set A,1,1,639.715,688.516,638.7,687.7,1.3023367460068986,9.788,9.9,0.1120000000000001,2.498,4.75,2.252,0.9986,659.8246097564697
PAIR_023,Set A,1,1,438.997,284.702,439.8,285.8,1.3602988642206626,8.932,8.9,0.03200000000000003,2.341,2.5,0.1589999999999998,0.999,700.066089630127
PAIR_024,Set A,1,1,465.627,421.224,466.07,421.3,0.44947191235936956,10.223,10.1,0.12300000000000111,3.625,5.0,1.375,0.9985,639.7573947906494
PAIR_025,Set A,1,1,295.927,365.195,343.45,366.8,47.55009520495198,8.467,8.9,0.43299999999999983,0.651,0.25,0.401,0.997,685.2190494537354
PAIR_026,Set A,1,1,655.189,699.19,654.89,698.62,0.643662178475669,10.207,10.1,0.1070000000000011,1.708,2.25,0.542,0.9987,664.7789478302002
PAIR_027,Set A,1,1,499.464,391.473,499.67,390.66,0.8386924346862727,11.067,11.1,0.032999999999999474,2.833,4.75,1.9169999999999998,0.9987,590.3112888336182
PAIR_028,Set A,1,1,518.841,717.893,518.5,716.7,1.2407779817517584,9.94,9.9,0.03999999999999915,4.535,4.75,0.21499999999999986,0.999,661.9734764099121
PAIR_029,Set A,1,1,565.874,493.13,565.2,493.0,0.6864226103501905,9.214,9.1,0.11400000000000077,-4.015,-4.75,0.7350000000000003,0.9988,632.7488422393799
PAIR_030,Set A,1,1,543.885,280.263,542.7,279.7,1.3119428341203963,9.921,9.9,0.02099999999999902,-3.906,-2.75,1.1560000000000001,0.9989,610.039472579956
PAIR_031,Set A,1,1,702.599,269.109,703.8,269.8,1.3855980658184472,8.775,8.9,0.125,-4.206,-4.75,0.5439999999999996,0.9989,707.0190906524658
PAIR_032,Set A,1,1,250.999,283.807,251.22,283.2,0.6459798758475648,10.602,10.9,0.29800000000000004,4.972,4.75,0.22200000000000042,0.9988,666.0127639770508
PAIR_033,Set A,1,1,602.999,361.704,601.2,361.57,1.8039836473759747,8.885,8.9,0.015000000000000568,-0.84,-2.5,1.6600000000000001,0.9976,662.3141765594482
PAIR_034,Set A,1,1,674.849,565.317,674.2,565.8,0.8090055624035908,11.649,11.9,0.2510000000000012,-3.587,-4.75,1.1629999999999998,0.9984,549.5743751525879
PAIR_035,Set A,1,1,418.766,283.784,418.02,283.3,0.8892536196159324,10.061,10.1,0.0389999999999997,-2.206,-2.25,0.04400000000000004,0.999,634.6597671508789
PAIR_036,Set A,1,1,503.04,361.447,504.3,360.7,1.464789746004524,9.009,9.0,0.009000000000000341,3.178,4.75,1.572,0.9988,695.3990459442139
PAIR_037,Set A,1,1,451.621,653.58,452.0,653.2,0.5366945127351416,11.394,11.1,0.2940000000000005,3.867,5.25,1.383,0.9988,544.1980361938477
PAIR_038,Set A,1,1,701.382,491.593,700.2,491.2,1.2456215316057253,8.654,8.9,0.24600000000000044,-1.499,-4.75,3.251,0.9977,701.528787612915
PAIR_039,Set A,1,1,298.178,270.774,298.8,269.2,1.6924420226406742,8.526,8.9,0.37400000000000055,2.808,5.25,2.442,0.9987,704.7793865203857
PAIR_040,Set A,1,1,612.517,652.07,613.3,651.7,0.8660190529081041,10.541,11.0,0.45899999999999963,-4.762,-5.25,0.48800000000000043,0.9982,639.7967338562012
PAIR_041,Set B,1,1,614.313,616.601,613.2,615.84,1.3482915115062553,11.288,11.1,0.1880000000000006,3.845,5.25,1.4049999999999998,0.9985,624.7434616088867
PAIR_042,Set B,1,1,472.549,664.203,473.8,664.8,1.3861493426034799,10.818,10.9,0.08200000000000074,1.706,2.25,0.544,0.9988,639.9998664855957
PAIR_043,Set B,1,1,509.124,664.305,508.2,664.02,0.9669544973782617,9.278,9.1,0.17800000000000082,1.288,2.75,1.462,0.9985,703.0410766601562
PAIR_044,Set B,1,1,712.259,323.0,935.97,931.8,648.6016123330252,11.893,11.1,0.793000000000001,-2.201,0.25,2.451,0.9985,581.6497802734375
PAIR_045,Set B,1,1,585.2,337.616,584.2,337.2,1.0830770979020825,8.696,8.9,0.20400000000000063,2.668,4.75,2.082,0.9986,715.8007621765137
PAIR_046,Set B,1,1,361.259,541.457,360.2,540.6,1.3623252181472694,8.758,8.9,0.14200000000000124,-4.835,-4.75,0.08499999999999996,0.9981,732.6722145080566
PAIR_047,Set B,1,1,282.573,690.286,492.2,269.2,470.37952604785,8.861,8.9,0.0389999999999997,-1.347,-0.25,1.097,0.9989,729.9807071685791
PAIR_048,Set B,1,1,721.751,384.657,722.3,384.61,0.5510081669085978,10.271,10.1,0.17100000000000115,3.087,2.75,0.3370000000000002,0.9988,689.9504661560059
PAIR_049,Set B,1,1,282.174,294.381,282.09,295.3,0.9228309704382884,8.99,9.0,0.009999999999999787,3.798,4.75,0.952,0.9978,759.7620487213135
PAIR_050,Set B,1,1,627.659,311.817,627.2,312.8,1.0848824821149794,8.905,8.9,0.004999999999999005,4.441,4.75,0.30900000000000016,0.9979,767.5163745880127
PAIR_051,Set B,1,1,264.238,418.168,265.3,417.7,1.1605464230266886,9.793,9.9,0.1070000000000011,-1.121,-4.75,3.629,0.998,697.7088451385498
PAIR_052,Set B,1,1,285.278,711.629,284.79,712.61,1.095675590674534,11.424,11.1,0.32399999999999984,0.066,-0.25,0.316,0.9988,615.0586605072021
PAIR_053,Set B,1,1,295.287,553.839,294.2,603.2,49.37296719866043,8.615,8.9,0.28500000000000014,2.109,0.25,1.859,0.9987,739.9568557739258
PAIR_054,Set B,1,1,552.276,528.129,551.7,526.7,1.540719637052705,9.784,9.9,0.11599999999999966,-4.353,-4.75,0.39700000000000024,0.9985,735.1334095001221
PAIR_055,Set B,1,1,636.233,278.876,566.3,347.7,98.11914932876252,8.383,8.1,0.2829999999999995,-1.81,0.25,2.06,0.9988,716.7227268218994
PAIR_056,Set B,1,1,572.232,736.133,572.22,735.7,0.43316624983947255,11.714,12.0,0.2859999999999996,-2.909,-4.75,1.8410000000000002,0.9984,618.037223815918
PAIR_057,Set B,1,1,307.772,494.878,306.7,493.7,1.5927548461706211,9.588,9.9,0.31200000000000117,4.088,4.75,0.6619999999999999,0.9981,714.5035266876221
PAIR_058,Set B,1,1,496.835,634.343,496.2,634.8,0.7823515833690009,11.613,11.9,0.2870000000000008,3.281,5.0,1.7189999999999999,0.9966,595.6113338470459
PAIR_059,Set B,1,1,262.131,640.038,262.8,639.2,1.0722896064030438,9.777,10.0,0.22300000000000075,-1.272,-4.75,3.4779999999999998,0.9974,765.1693820953369
PAIR_060,Set B,1,1,406.659,579.697,405.7,578.7,1.3833618470956617,11.99,12.0,0.009999999999999787,-2.17,-5.25,3.08,0.9987,604.8471927642822
PAIR_061,Set B,1,1,683.509,356.934,682.89,355.2,1.8411727241082418,11.827,11.9,0.0730000000000004,-2.56,-2.25,0.31000000000000005,0.9983,609.9686622619629
PAIR_062,Set B,1,1,480.61,558.305,480.7,556.7,1.60752138399453,9.585,9.9,0.3149999999999995,-1.098,-5.25,4.152,0.9971,749.0293979644775
PAIR_063,Set B,1,1,625.946,561.777,626.3,562.3,0.6315417642562176,9.043,9.0,0.04299999999999926,-2.961,-5.25,2.289,0.9986,790.8780574798584
PAIR_064,Set B,1,1,583.418,694.67,582.7,695.11,0.8420950065164808,8.134,8.1,0.034000000000000696,-2.842,-4.75,1.908,0.9981,759.9048614501953
PAIR_065,Set B,1,1,553.893,662.054,600.7,662.3,46.807646437307675,9.27,9.9,0.6300000000000008,-1.108,-2.25,1.142,0.9954,745.6912994384766
PAIR_066,Set B,1,0,486.9,467.901,0.0,0.0,999.0,8.446,0.0,999.0,2.426,0.0,999.0,0.9957,739.4688129425049
PAIR_067,Set B,1,1,718.347,634.187,719.27,633.7,1.043598581831142,10.966,11.0,0.034000000000000696,-0.917,-4.75,3.833,0.9981,642.2383785247803
PAIR_068,Set B,1,1,253.848,551.38,253.53,551.48,0.33335266610605085,10.923,11.0,0.07699999999999996,-3.62,-5.25,1.63,0.9988,684.1080188751221
