pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,runtime_ms
pair_001,Set A,gen_001,1,1,656.0,366.0,655.7,366.3,0.42,8.925,9.0,0.07,-0.385,-1.0,0.61,0.9971,549.6
pair_002,Set A,gen_002,1,1,686.0,352.0,687.3,353.3,1.84,9.875,9.75,0.12,4.21,4.0,0.21,0.9987,583.22
pair_003,Set A,gen_003,1,1,471.0,528.0,610.44,528.33,139.44,10.763,10.0,0.76,-0.273,0.0,0.27,0.9963,574.28
pair_004,Set A,gen_004,1,1,376.0,667.0,376.51,316.68,350.32,10.576,10.0,0.58,-0.673,0.0,0.67,0.9976,583.45
pair_005,Set A,gen_005,1,1,461.0,464.0,611.71,364.8,180.43,11.667,10.0,1.67,-4.742,0.0,4.74,0.9986,499.94
pair_006,Set A,gen_006,1,1,328.0,710.0,177.81,109.2,619.29,8.851,10.0,1.15,0.804,0.0,0.8,0.9987,566.52
pair_007,Set A,gen_007,1,1,501.0,458.0,501.39,457.43,0.69,11.655,11.75,0.1,-1.253,-1.0,0.25,0.9765,433.19
pair_008,Set A,gen_008,1,1,373.0,619.0,373.2,619.2,0.28,10.105,10.25,0.14,-4.475,-3.5,0.97,0.9964,532.71
pair_009,Set A,gen_009,1,1,443.0,487.0,482.97,246.2,244.09,11.142,10.0,1.14,3.669,0.0,3.67,0.9991,551.78
pair_010,Set A,gen_010,1,1,454.0,550.0,254.8,750.8,282.84,10.236,10.0,0.24,1.803,0.0,1.8,0.9984,566.49
pair_011,Set A,gen_011,1,1,503.0,469.0,502.2,633.2,164.2,9.137,10.0,0.86,-4.612,0.0,4.61,0.9991,566.39
pair_012,Set A,gen_012,1,1,498.0,310.0,497.52,640.8,330.8,9.951,10.0,0.05,-1.617,0.0,1.62,0.9991,598.94
pair_013,Set A,gen_013,1,1,479.0,703.0,384.8,418.7,299.5,9.051,10.0,0.95,3.818,0.0,3.82,0.999,617.93
pair_014,Set A,gen_014,1,1,339.0,525.0,433.2,430.66,133.32,9.599,10.0,0.4,3.055,0.0,3.06,0.999,599.93
pair_015,Set A,gen_015,1,1,501.0,375.0,500.38,660.8,285.8,9.086,10.0,0.91,-3.699,0.0,3.7,0.9991,584.69
pair_016,Set A,gen_016,1,1,314.0,496.0,504.42,496.8,190.42,9.583,10.0,0.42,-3.474,0.0,3.47,0.9991,583.35
pair_017,Set A,gen_017,1,1,475.0,303.0,282.2,183.8,226.67,9.732,10.0,0.27,-4.517,0.0,4.52,0.998,601.8
pair_018,Set A,gen_018,1,1,489.0,517.0,264.2,397.8,254.45,11.437,10.0,1.44,-4.138,0.0,4.14,0.9984,500.42
pair_019,Set A,gen_019,1,1,453.0,515.0,452.2,515.25,0.84,10.857,10.25,0.61,0.7,1.0,0.3,0.9321,499.27
pair_020,Set A,gen_020,1,1,479.0,331.0,95.8,331.8,383.2,8.081,10.0,1.92,-1.047,0.0,1.05,0.9981,548.07
pair_021,Set A,gen_021,1,1,479.0,482.0,334.85,242.8,279.28,9.068,10.0,0.93,0.115,0.0,0.12,0.9981,616.76
pair_022,Set A,gen_022,1,1,534.0,323.0,246.8,442.46,311.05,10.146,10.0,0.15,3.758,0.0,3.76,0.9982,566.8
