pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,runtime_ms
pair_001,Set A,gen_001,1,1,656.0,366.0,656.5,365.5,0.71,8.925,9.0,0.07,-0.385,-1.0,0.61,0.9971,550.32
pair_002,Set A,gen_002,1,1,686.0,352.0,686.5,352.5,0.71,9.875,9.75,0.12,4.21,4.0,0.21,0.9987,548.84
pair_003,Set A,gen_003,1,1,471.0,528.0,470.5,528.5,0.71,10.763,10.75,0.01,-0.273,0.0,0.27,0.9877,532.69
pair_004,Set A,gen_004,1,1,376.0,667.0,375.5,667.5,0.71,10.576,10.75,0.17,-0.673,-1.0,0.33,0.9944,514.7
pair_005,Set A,gen_005,1,1,461.0,464.0,611.0,364.0,180.28,11.667,10.0,1.67,-4.742,0.0,4.74,0.9986,465.93
pair_006,Set A,gen_006,1,1,328.0,710.0,128.0,110.0,632.46,8.851,10.0,1.15,0.804,0.0,0.8,0.9987,568.16
pair_007,Set A,gen_007,1,1,501.0,458.0,501.5,457.5,0.71,11.655,11.75,0.1,-1.253,-1.0,0.25,0.9765,458.7
pair_008,Set A,gen_008,1,1,373.0,619.0,373.0,620.0,1.0,10.105,10.25,0.14,-4.475,-4.0,0.47,0.9945,549.24
pair_009,Set A,gen_009,1,1,443.0,487.0,483.0,167.0,322.49,11.142,10.0,1.14,3.669,0.0,3.67,0.9991,513.52
pair_010,Set A,gen_010,1,1,454.0,550.0,454.0,550.0,0.0,10.236,10.25,0.01,1.803,1.5,0.3,0.9975,531.62
pair_011,Set A,gen_011,1,1,503.0,469.0,338.0,634.0,233.35,9.137,10.0,0.86,-4.612,0.0,4.61,0.9991,537.85
pair_012,Set A,gen_012,1,1,498.0,310.0,828.0,640.0,466.69,9.951,10.0,0.05,-1.617,0.0,1.62,0.9991,548.38
pair_013,Set A,gen_013,1,1,479.0,703.0,764.0,418.0,403.05,9.051,10.0,0.95,3.818,0.0,3.82,0.9991,567.27
pair_014,Set A,gen_014,1,1,339.0,525.0,624.0,620.0,300.42,9.599,10.0,0.4,3.055,0.0,3.06,0.9991,582.39
pair_015,Set A,gen_015,1,1,501.0,375.0,501.0,660.0,285.0,9.086,10.0,0.91,-3.699,0.0,3.7,0.9991,531.35
pair_016,Set A,gen_016,1,1,314.0,496.0,884.0,496.0,570.0,9.583,10.0,0.42,-3.474,0.0,3.47,0.9991,576.24
pair_017,Set A,gen_017,1,1,475.0,303.0,475.5,303.5,0.71,9.732,9.75,0.02,-4.517,-4.0,0.52,0.9268,548.18
pair_018,Set A,gen_018,1,1,489.0,517.0,489.5,517.5,0.71,11.437,11.75,0.31,-4.138,-4.0,0.14,0.9893,466.16
pair_019,Set A,gen_019,1,1,453.0,515.0,452.5,515.5,0.71,10.857,11.0,0.14,0.7,1.0,0.3,0.7802,486.1
pair_020,Set A,gen_020,1,0,479.0,331.0,0.0,0.0,999.0,8.081,0.0,999.0,-1.047,0.0,999.0,0.1623,556.32
pair_021,Set A,gen_021,1,0,479.0,482.0,0.0,0.0,999.0,9.068,0.0,999.0,0.115,0.0,999.0,0.3157,599.44
pair_022,Set A,gen_022,1,1,534.0,323.0,534.0,324.0,1.0,10.146,10.25,0.1,3.758,3.5,0.26,0.9942,516.4
pair_023,Set A,gen_023,1,0,513.0,482.0,0.0,0.0,999.0,8.637,0.0,999.0,3.763,0.0,999.0,0.4399,549.76
pair_024,Set A,gen_024,1,1,473.0,324.0,473.5,323.5,0.71,11.979,12.0,0.02,0.983,1.0,0.02,0.9912,466.38
pair_025,Set A,gen_025,1,1,484.0,537.0,483.5,537.5,0.71,9.678,9.75,0.07,-4.305,-4.0,0.3,0.9944,548.36
pair_026,Set A,gen_026,1,1,526.0,293.0,526.5,293.5,0.71,8.955,9.0,0.04,-0.249,0.0,0.25,0.9658,566.6
pair_027,Set A,gen_027,1,1,487.0,490.0,927.0,170.0,544.06,10.295,10.0,0.29,4.625,0.0,4.62,0.9988,549.88
pair_028,Set A,gen_028,1,1,515.0,292.0,515.0,292.0,0.0,8.782,8.75,0.03,-3.325,-3.5,0.17,0.9441,533.4
