pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,runtime_ms
pair_001,Set A,gen_001,1,1,656.0,366.0,657.3,366.3,1.33,8.925,9.0,0.07,-0.385,-1.0,0.61,0.9989,683.44
pair_002,Set A,gen_002,1,1,686.0,352.0,687.3,353.3,1.84,9.875,9.75,0.12,4.21,4.0,0.21,0.9989,651.96
pair_003,Set A,gen_003,1,1,471.0,528.0,470.81,528.63,0.66,10.763,10.75,0.01,-0.273,0.0,0.27,0.9982,649.21
pair_004,Set A,gen_004,1,1,376.0,667.0,375.39,666.7,0.68,10.576,10.75,0.17,-0.673,-1.0,0.33,0.9972,731.33
pair_005,Set A,gen_005,1,1,461.0,464.0,411.71,264.8,205.21,11.667,10.0,1.67,-4.742,0.0,4.74,0.9986,678.54
pair_006,Set A,gen_006,1,1,328.0,710.0,428.8,360.8,363.46,8.851,10.0,1.15,0.804,0.0,0.8,0.9987,713.65
pair_007,Set A,gen_007,1,1,501.0,458.0,501.39,457.43,0.69,11.655,11.75,0.1,-1.253,-1.0,0.25,0.9956,650.0
pair_008,Set A,gen_008,1,1,373.0,619.0,372.2,620.12,1.38,10.105,10.25,0.14,-4.475,-4.0,0.47,0.9952,706.35
pair_009,Set A,gen_009,1,1,443.0,487.0,283.8,327.8,225.14,11.142,10.0,1.14,3.669,0.0,3.67,0.9991,666.43
pair_010,Set A,gen_010,1,1,454.0,550.0,453.2,549.2,1.13,10.236,10.25,0.01,1.803,1.5,0.3,0.9984,676.66
pair_011,Set A,gen_011,1,1,503.0,469.0,337.65,633.2,233.03,9.137,10.0,0.86,-4.612,0.0,4.61,0.999,679.26
pair_012,Set A,gen_012,1,1,498.0,310.0,332.2,309.2,165.8,9.951,10.0,0.05,-1.617,0.0,1.62,0.9991,651.67
pair_013,Set A,gen_013,1,1,479.0,703.0,193.2,418.69,403.13,9.051,10.0,0.95,3.818,0.0,3.82,0.999,697.82
pair_014,Set A,gen_014,1,1,339.0,525.0,433.2,430.66,133.32,9.599,10.0,0.4,3.055,0.0,3.06,0.999,649.81
pair_015,Set A,gen_015,1,1,501.0,375.0,311.46,470.8,212.37,9.086,10.0,0.91,-3.699,0.0,3.7,0.9991,679.82
pair_016,Set A,gen_016,1,1,314.0,496.0,694.42,686.8,425.59,9.583,10.0,0.42,-3.474,0.0,3.47,0.9991,669.55
pair_017,Set A,gen_017,1,1,475.0,303.0,475.61,304.3,1.44,9.732,9.75,0.02,-4.517,-4.0,0.52,0.99,667.56
pair_018,Set A,gen_018,1,1,489.0,517.0,488.71,516.7,0.42,11.437,11.75,0.31,-4.138,-4.0,0.14,0.9916,598.3
pair_019,Set A,gen_019,1,1,453.0,515.0,453.3,516.3,1.33,10.857,11.0,0.14,0.7,1.0,0.3,0.9936,644.55
pair_020,Set A,gen_020,1,1,479.0,331.0,478.7,329.7,1.33,8.081,8.0,0.08,-1.047,-1.0,0.05,0.9914,665.64
pair_021,Set A,gen_021,1,1,479.0,482.0,479.8,481.48,0.95,9.068,9.25,0.18,0.115,0.0,0.12,0.9908,737.21
pair_022,Set A,gen_022,1,1,534.0,323.0,534.8,324.8,1.97,10.146,10.25,0.1,3.758,3.5,0.26,0.9977,655.27
pair_023,Set A,gen_023,1,1,513.0,482.0,512.41,482.03,0.59,8.637,8.75,0.11,3.763,3.5,0.26,0.9921,700.41
pair_024,Set A,gen_024,1,1,473.0,324.0,473.15,323.47,0.55,11.979,12.0,0.02,0.983,1.0,0.02,0.9899,571.79
pair_025,Set A,gen_025,1,1,484.0,537.0,482.7,536.7,1.33,9.678,9.75,0.07,-4.305,-4.0,0.3,0.9986,681.13
pair_026,Set A,gen_026,1,1,526.0,293.0,527.3,292.7,1.33,8.955,9.0,0.04,-0.249,0.0,0.25,0.9985,715.57
pair_027,Set A,gen_027,1,1,487.0,490.0,487.0,169.2,320.8,10.295,10.0,0.29,4.625,0.0,4.62,0.9982,644.09
pair_028,Set A,gen_028,1,1,515.0,292.0,515.8,291.46,0.97,8.782,8.75,0.03,-3.325,-3.5,0.17,0.9793,665.58
pair_029,Set A,gen_029,1,1,510.0,535.0,230.8,390.7,314.29,10.895,10.0,0.89,4.519,0.0,4.52,0.9982,575.85
pair_030,Set A,gen_030,1,1,492.0,349.0,127.2,637.8,465.28,10.402,10.0,0.4,-4.182,0.0,4.18,0.9972,617.1
pair_031,Set A,gen_031,1,1,521.0,537.0,521.8,536.59,0.9,9.782,10.0,0.22,0.506,1.0,0.49,0.9984,689.45
pair_032,Set A,gen_032,1,1,471.0,318.0,471.25,317.7,0.39,8.236,8.25,0.01,3.636,3.5,0.14,0.9902,619.83
pair_033,Set A,gen_033,1,1,467.0,481.0,466.29,482.19,1.39,8.364,8.25,0.11,-1.137,-1.5,0.36,0.9973,630.3
pair_034,Set A,gen_034,1,1,473.0,335.0,472.7,335.3,0.42,11.1,11.25,0.15,-3.576,-3.5,0.08,0.9987,584.2
pair_035,Set A,gen_035,1,1,532.0,509.0,505.48,67.8,442.0,9.174,10.0,0.83,-1.932,0.0,1.93,0.999,682.61
pair_036,Set A,gen_036,1,1,495.0,303.0,495.29,303.8,0.85,10.213,10.25,0.04,3.337,3.5,0.16,0.999,670.25
pair_037,Set A,gen_037,1,1,507.0,471.0,506.7,470.7,0.42,11.979,12.0,0.02,4.163,4.0,0.16,0.9986,633.59
pair_038,Set A,gen_038,1,1,462.0,330.0,460.7,331.3,1.84,11.59,11.75,0.16,4.42,4.0,0.42,0.9984,644.34
pair_039,Set A,gen_039,1,1,482.0,475.0,483.3,474.18,1.54,11.908,12.0,0.09,1.761,1.5,0.26,0.996,625.49
pair_040,Set A,gen_040,1,1,535.0,311.0,534.97,310.08,0.92,9.156,9.25,0.09,2.194,2.5,0.31,0.998,698.24
pair_041,Set A,gen_041,1,1,462.0,496.0,318.8,783.98,321.62,10.629,10.0,0.63,3.476,0.0,3.48,0.9821,653.35
pair_042,Set A,gen_042,1,1,486.0,305.0,449.2,737.8,434.36,10.398,10.0,0.4,3.742,0.0,3.74,0.9933,658.0
pair_043,Set A,gen_043,1,1,537.0,494.0,681.23,62.8,454.68,11.632,10.0,1.63,-3.66,0.0,3.66,0.9968,592.47
pair_044,Set A,gen_044,1,1,464.0,307.0,462.7,307.35,1.35,9.008,9.0,0.01,-1.395,-1.5,0.1,0.998,693.66
pair_045,Set A,gen_045,1,1,517.0,524.0,516.2,523.25,1.1,9.838,10.0,0.16,2.503,2.5,0.0,0.9986,697.3
pair_046,Set A,gen_046,1,1,517.0,325.0,516.7,324.7,0.42,11.038,11.0,0.04,-0.877,-1.0,0.12,0.9978,619.04
pair_047,Set A,gen_047,1,1,529.0,529.0,313.8,337.8,287.87,11.06,10.0,1.06,3.489,0.0,3.49,0.9988,594.88
pair_048,Set A,gen_048,1,1,494.0,287.0,493.2,286.2,1.13,10.243,10.25,0.01,4.507,4.0,0.51,0.9969,677.44
pair_049,Set A,gen_049,1,1,476.0,478.0,590.8,306.18,206.64,10.475,10.0,0.47,-4.142,0.0,4.14,0.9988,666.91
pair_050,Set A,gen_050,1,1,476.0,298.0,362.8,470.43,206.27,8.638,10.0,1.36,2.295,0.0,2.29,0.9988,748.69
pair_051,Set A,gen_051,1,1,475.0,479.0,330.2,310.83,221.92,10.459,10.0,0.46,1.336,0.0,1.34,0.9979,667.24
pair_052,Set A,gen_052,1,1,525.0,336.0,526.22,336.3,1.26,8.102,8.25,0.15,4.174,4.0,0.17,0.9903,678.55
pair_053,Set A,gen_053,1,1,538.0,461.0,633.83,268.98,214.6,8.601,10.0,1.4,-2.792,0.0,2.79,0.9986,674.88
pair_054,Set A,gen_054,1,1,466.0,336.0,81.96,335.2,384.04,8.214,10.0,1.79,-4.393,0.0,4.39,0.9988,631.4
pair_055,Set A,gen_055,1,1,526.0,479.0,283.2,451.8,244.32,9.311,10.0,0.69,1.258,0.0,1.26,0.9988,708.04
pair_056,Set A,gen_056,1,1,504.0,293.0,107.2,265.34,397.76,9.544,10.0,0.46,2.048,0.0,2.05,0.9988,669.02
pair_057,Set A,gen_057,1,1,481.0,468.0,481.8,307.96,160.04,10.072,10.0,0.07,-3.276,0.0,3.28,0.9989,674.49
pair_058,Set A,gen_058,1,1,536.0,345.0,535.23,728.96,383.96,11.497,10.0,1.5,0.789,0.0,0.79,0.9981,648.5
pair_059,Set A,gen_059,1,1,477.0,485.0,477.3,485.3,0.42,10.716,10.75,0.03,-4.157,-4.0,0.16,0.9974,667.17
pair_060,Set A,gen_060,1,1,512.0,327.0,512.26,326.2,0.84,9.265,9.25,0.02,4.843,5.0,0.16,0.9978,666.25
pair_061,Set A,gen_001,1,1,676.0,317.0,675.7,318.29,1.32,10.852,11.0,0.15,2.393,2.5,0.11,0.9989,631.47
pair_062,Set A,gen_002,1,1,687.0,369.0,686.7,367.7,1.33,11.051,11.25,0.2,3.903,4.0,0.1,0.9988,579.77
pair_063,Set A,gen_003,1,1,468.0,529.0,467.62,529.8,0.89,10.077,10.25,0.17,0.886,1.0,0.11,0.9982,645.84
pair_064,Set A,gen_004,1,1,357.0,654.0,357.08,164.44,489.56,11.313,10.0,1.31,-3.082,0.0,3.08,0.9926,583.35
pair_065,Set A,gen_005,1,1,501.0,460.0,451.43,59.93,403.13,9.332,10.0,0.67,-4.654,0.0,4.65,0.9987,635.33
pair_066,Set A,gen_006,1,1,320.0,702.0,120.7,152.8,584.24,8.693,10.0,1.31,-3.058,0.0,3.06,0.9987,649.87
pair_067,Set A,gen_007,1,1,520.0,469.0,519.2,469.3,0.85,9.769,10.0,0.23,4.247,4.0,0.25,0.9965,698.64
pair_068,Set A,gen_008,1,1,322.0,652.0,320.7,653.3,1.84,8.172,8.25,0.08,3.852,4.0,0.15,0.9955,703.31
pair_069,Set A,gen_009,1,1,438.0,464.0,118.8,104.8,480.53,10.308,10.0,0.31,-1.448,0.0,1.45,0.9991,643.3
pair_070,Set A,gen_010,1,1,387.0,569.0,385.7,570.18,1.76,8.195,8.25,0.05,4.584,5.0,0.42,0.9855,719.43
pair_071,Set B,gen_011,1,1,493.0,510.0,493.33,508.3,1.73,9.11,10.75,1.64,-4.039,-3.5,0.54,0.9911,608.19
pair_072,Set B,gen_012,1,1,531.0,327.0,532.7,846.8,519.8,11.95,9.25,2.7,-3.171,-1.5,1.67,0.9583,725.23
pair_073,Set B,gen_013,1,1,497.0,709.0,78.3,624.7,427.1,10.311,9.0,1.31,-3.481,-1.0,2.48,0.9964,732.47
pair_074,Set B,gen_014,1,1,322.0,462.0,409.7,140.16,333.57,11.56,9.0,2.56,3.369,-1.5,4.87,0.9217,733.76
pair_075,Set B,gen_015,1,1,474.0,389.0,479.7,646.96,258.02,8.026,11.75,3.72,-2.255,-1.0,1.25,0.9692,582.03
pair_076,Set B,gen_016,1,1,327.0,498.0,517.3,499.3,190.3,8.943,11.0,2.06,4.124,1.0,3.12,0.997,582.9
pair_077,Set B,gen_017,1,1,460.0,288.0,456.2,287.2,3.88,9.167,9.25,0.08,0.439,1.0,0.56,0.9294,716.51
pair_078,Set B,gen_018,1,1,487.0,533.0,486.3,537.2,4.26,9.264,8.25,1.01,-4.91,-5.0,0.09,0.9602,685.21
pair_079,Set B,gen_019,1,1,503.0,522.0,503.7,523.48,1.64,9.34,8.25,1.09,-4.19,-5.0,0.81,0.8371,683.74
pair_080,Set B,gen_020,1,1,489.0,285.0,489.7,316.7,31.71,11.535,12.0,0.46,-3.206,-1.0,2.21,0.7317,550.44
