pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,grad_ncc,raw_siamese,runtime_ms
pair_001,Set A,gen_001,1,1,656.0,366.0,656.18,365.7,0.35,8.925,9.0,0.07,-0.385,0.0,0.39,0.9966,0.7869,0.9989,593.08
pair_002,Set A,gen_002,1,1,686.0,352.0,686.81,353.8,1.97,9.875,10.0,0.12,4.21,4.0,0.21,0.9966,0.7871,0.9986,478.85
pair_003,Set A,gen_003,1,1,471.0,528.0,469.77,528.52,1.34,10.763,10.75,0.01,-0.273,0.0,0.27,0.9978,0.9506,0.9094,501.98
pair_004,Set A,gen_004,1,1,376.0,667.0,374.91,667.22,1.11,10.576,10.75,0.17,-0.673,-1.0,0.33,0.9938,0.7948,0.8917,536.03
pair_005,Set A,gen_005,1,1,461.0,464.0,311.8,63.81,427.1,11.667,10.0,1.67,-4.742,0.0,4.74,0.9986,0.9523,0.9813,535.25
pair_006,Set A,gen_006,1,1,328.0,710.0,177.27,559.2,213.21,8.851,10.0,1.15,0.804,0.0,0.8,0.9988,0.9624,0.9921,586.14
pair_007,Set A,gen_007,1,1,501.0,458.0,150.61,458.0,350.39,11.655,10.0,1.65,-1.253,0.0,1.25,0.9873,0.8752,0.6905,450.64
pair_008,Set A,gen_008,1,1,373.0,619.0,442.38,688.2,97.99,10.105,10.0,0.11,-4.475,0.0,4.47,0.9513,0.8226,0.5129,585.85
pair_009,Set A,gen_009,1,1,443.0,487.0,363.8,407.41,112.28,11.142,10.0,1.14,3.669,0.0,3.67,0.999,0.9972,1.0,501.89
pair_010,Set A,gen_010,1,1,454.0,550.0,453.2,549.54,0.92,10.236,10.25,0.01,1.803,1.5,0.3,0.9983,0.9854,0.9173,532.91
pair_011,Set A,gen_011,1,1,503.0,469.0,337.59,634.48,233.97,9.137,10.0,0.86,-4.612,0.0,4.61,0.999,0.9968,0.9997,568.49
pair_012,Set A,gen_012,1,1,498.0,310.0,827.2,640.66,466.59,9.951,10.0,0.05,-1.617,0.0,1.62,0.9991,1.0,0.9998,533.24
pair_013,Set A,gen_013,1,0,479.0,703.0,0.0,0.0,999.0,9.051,0.0,999.0,3.818,0.0,999.0,0.1666,1.0,-0.4283,415.05
pair_014,Set A,gen_014,1,0,339.0,525.0,0.0,0.0,999.0,9.599,0.0,999.0,3.055,0.0,999.0,0.2977,1.0,-0.303,416.64
pair_015,Set A,gen_015,1,0,501.0,375.0,0.0,0.0,999.0,9.086,0.0,999.0,-3.699,0.0,999.0,0.4472,1.0,-0.1953,483.15
pair_016,Set A,gen_016,1,1,314.0,496.0,884.01,306.48,600.69,9.583,10.0,0.42,-3.474,0.0,3.47,0.999,0.9995,0.9984,458.73
pair_017,Set A,gen_017,1,1,475.0,303.0,476.3,303.11,1.3,9.732,9.75,0.02,-4.517,-4.0,0.52,0.9859,0.9286,0.6188,583.59
pair_018,Set A,gen_018,1,1,489.0,517.0,905.8,156.77,550.9,11.437,10.0,1.44,-4.138,0.0,4.14,0.9555,0.9049,0.4462,450.23
pair_019,Set A,gen_019,1,1,453.0,515.0,451.7,515.24,1.32,10.857,10.75,0.11,0.7,1.0,0.3,0.9911,0.8733,0.7514,536.6
pair_020,Set A,gen_020,1,1,479.0,331.0,286.2,90.89,307.94,8.081,10.0,1.92,-1.047,0.0,1.05,0.9858,0.9176,0.6297,579.43
pair_021,Set A,gen_021,1,1,479.0,482.0,334.91,602.53,187.85,9.068,10.0,0.93,0.115,0.0,0.12,0.9211,0.8971,0.3525,569.63
pair_022,Set A,gen_022,1,1,534.0,323.0,102.17,83.06,494.01,10.146,10.0,0.15,3.758,0.0,3.76,0.7994,0.901,0.1694,535.57
pair_023,Set A,gen_023,1,1,513.0,482.0,640.68,482.74,127.68,8.637,10.0,1.36,3.763,0.0,3.76,0.8807,0.8658,0.3074,533.02
pair_024,Set A,gen_024,1,1,473.0,324.0,473.66,324.3,0.72,11.979,12.0,0.02,0.983,1.0,0.02,0.9868,0.9425,0.617,450.34
pair_025,Set A,gen_025,1,1,484.0,537.0,484.3,536.7,0.42,9.678,9.75,0.07,-4.305,-4.0,0.3,0.9982,0.9549,0.9409,566.74
pair_026,Set A,gen_026,1,1,526.0,293.0,526.08,292.82,0.2,8.955,9.0,0.04,-0.249,0.0,0.25,0.9969,0.8549,0.9487,625.99
pair_027,Set A,gen_027,1,1,487.0,490.0,486.2,810.8,320.8,10.295,10.0,0.29,4.625,0.0,4.62,0.998,0.9507,0.9247,566.5
pair_028,Set A,gen_028,1,1,515.0,292.0,514.2,292.11,0.81,8.782,8.75,0.03,-3.325,-3.5,0.17,0.9752,0.9571,0.4949,557.5
pair_029,Set A,gen_029,1,1,510.0,535.0,118.72,103.8,582.27,10.895,10.0,0.89,4.519,0.0,4.52,0.9979,0.9546,0.9124,510.45
pair_030,Set A,gen_030,1,1,492.0,349.0,491.67,61.8,287.2,10.402,10.0,0.4,-4.182,0.0,4.18,0.9969,0.9659,0.8385,532.28
pair_031,Set A,gen_031,1,1,521.0,537.0,521.8,536.2,1.13,9.782,10.0,0.22,0.506,1.0,0.49,0.9973,0.8745,0.9484,590.01
pair_032,Set A,gen_032,1,1,471.0,318.0,469.7,318.76,1.51,8.236,8.25,0.01,3.636,3.5,0.14,0.988,0.9565,0.6179,516.65
pair_033,Set A,gen_033,1,1,467.0,481.0,467.12,482.3,1.31,8.364,8.25,0.11,-1.137,-1.5,0.36,0.995,0.872,0.8491,590.44
pair_034,Set A,gen_034,1,1,473.0,335.0,472.93,334.7,0.31,11.1,11.0,0.1,-3.576,-4.0,0.42,0.9977,0.9035,0.9508,417.6
pair_035,Set A,gen_035,1,1,532.0,509.0,870.8,67.8,556.28,9.174,10.0,0.83,-1.932,0.0,1.93,0.9988,0.9653,0.9996,549.96
pair_036,Set A,gen_036,1,1,495.0,303.0,390.99,329.01,107.21,10.213,10.0,0.21,3.337,0.0,3.34,0.9989,0.982,0.9994,532.65
pair_037,Set A,gen_037,1,1,507.0,471.0,506.7,470.7,0.42,11.979,12.0,0.02,4.163,4.0,0.16,0.9983,0.9581,0.9438,500.15
pair_038,Set A,gen_038,1,1,462.0,330.0,342.36,66.02,289.83,11.59,10.0,1.59,4.42,0.0,4.42,0.9983,0.9198,0.9823,515.99
pair_039,Set A,gen_039,1,1,482.0,475.0,949.2,187.8,548.42,11.908,10.0,1.91,1.761,0.0,1.76,0.988,0.939,0.6356,466.52
pair_040,Set A,gen_040,1,1,535.0,311.0,282.2,311.8,252.8,9.156,10.0,0.84,2.194,0.0,2.19,0.9857,0.9454,0.6007,600.02
pair_041,Set A,gen_041,1,1,462.0,496.0,65.97,352.6,421.19,10.629,10.0,0.63,3.476,0.0,3.48,0.9804,0.9546,0.5375,499.88
pair_042,Set A,gen_042,1,1,486.0,305.0,755.2,449.6,305.58,10.398,10.0,0.4,3.742,0.0,3.74,0.9934,0.951,0.7242,533.03
pair_043,Set A,gen_043,1,1,537.0,494.0,825.8,62.49,519.24,11.632,10.0,1.63,-3.66,0.0,3.66,0.9963,0.9482,0.8241,482.98
pair_044,Set A,gen_044,1,1,464.0,307.0,464.3,306.7,0.42,9.008,9.0,0.01,-1.395,-1.5,0.1,0.9977,0.9657,0.8863,568.25
pair_045,Set A,gen_045,1,1,517.0,524.0,354.2,523.38,162.8,9.838,10.0,0.16,2.503,0.0,2.5,0.9848,0.9327,0.6026,566.59
pair_046,Set A,gen_046,1,1,517.0,325.0,517.25,326.3,1.32,11.038,11.0,0.04,-0.877,-1.0,0.12,0.9974,0.9646,0.8655,533.4
pair_047,Set A,gen_047,1,1,529.0,529.0,72.2,529.8,456.8,11.06,10.0,1.06,3.489,0.0,3.49,0.9988,0.9785,0.9761,516.49
pair_048,Set A,gen_048,1,1,494.0,287.0,661.2,287.8,167.2,10.243,10.0,0.24,4.507,0.0,4.51,0.9988,0.9751,0.9899,533.49
pair_049,Set A,gen_049,1,1,476.0,478.0,589.2,306.8,205.24,10.475,10.0,0.47,-4.142,0.0,4.14,0.9988,0.9712,0.9833,566.54
