pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,raw_ncc,prominence,runtime_ms
pair_001,Set A,gen_001,1,1,656.0,366.0,655.7,366.3,0.42,8.925,9.0,0.07,-0.385,-1.0,0.61,0.9989,0.9722,0.3174,589.13
pair_002,Set A,gen_002,1,1,686.0,352.0,687.3,353.3,1.84,9.875,9.75,0.12,4.21,4.0,0.21,0.9989,0.9698,0.3408,566.11
pair_003,Set A,gen_003,1,1,471.0,528.0,469.7,527.7,1.33,10.763,10.75,0.01,-0.273,0.0,0.27,0.9982,0.9865,0.7211,548.99
pair_004,Set A,gen_004,1,1,376.0,667.0,375.55,666.96,0.45,10.576,10.75,0.17,-0.673,-1.0,0.33,0.9972,0.9276,0.649,581.88
pair_005,Set A,gen_005,1,1,461.0,464.0,460.36,463.73,0.69,11.667,11.75,0.08,-4.742,-5.0,0.26,0.9871,0.8939,0.6765,503.69
pair_006,Set A,gen_006,1,1,328.0,710.0,327.7,711.3,1.33,8.851,9.0,0.15,0.804,1.0,0.2,0.9928,0.9217,0.6801,578.18
pair_007,Set A,gen_007,1,1,501.0,458.0,501.39,457.43,0.69,11.655,11.75,0.1,-1.253,-1.0,0.25,0.9956,0.9261,0.417,436.82
pair_008,Set A,gen_008,1,1,373.0,619.0,372.2,619.76,1.1,10.105,10.25,0.14,-4.475,-4.0,0.47,0.9952,0.9238,0.449,583.04
pair_009,Set A,gen_009,1,1,443.0,487.0,441.7,488.3,1.84,11.142,11.0,0.14,3.669,3.5,0.17,0.9957,0.9578,0.5975,533.76
pair_010,Set A,gen_010,1,1,454.0,550.0,453.2,549.2,1.13,10.236,10.25,0.01,1.803,1.5,0.3,0.9984,0.9961,0.6415,557.61
pair_011,Set A,gen_011,1,1,503.0,469.0,503.24,468.05,0.98,9.137,9.25,0.11,-4.612,-5.0,0.39,0.9954,0.9253,0.744,538.48
pair_012,Set A,gen_012,1,1,498.0,310.0,497.2,309.2,1.13,9.951,10.0,0.05,-1.617,-1.5,0.12,0.9973,0.9948,0.9574,583.55
pair_013,Set A,gen_013,1,1,479.0,703.0,763.2,418.7,401.99,9.051,10.0,0.95,3.818,0.0,3.82,0.9991,1.0,0.6844,581.11
