pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,gt_in_coarse,gt_coarse_dist,gt_in_refined,gt_refined_dist,gt_rank_before,gt_rank_after,primary_cat,pred_score,runtime_ms
pair_001,Set A,gen_001,1,1,656.0,366.0,655.7,366.3,0.42,8.925,9.0,0.07,-0.385,-1.0,0.61,True,0.0,True,0.0,4,1,PASS,0.9989,600.48
pair_002,Set A,gen_002,1,1,686.0,352.0,687.3,353.3,1.84,9.875,9.75,0.12,4.21,4.0,0.21,True,0.0,True,0.0,11,1,PASS,0.9989,575.04
pair_003,Set A,gen_003,1,1,471.0,528.0,469.7,527.7,1.33,10.763,10.75,0.01,-0.273,0.0,0.27,True,1.0,True,0.0,19,1,PASS,0.9982,549.83
pair_004,Set A,gen_004,1,1,376.0,667.0,375.55,666.96,0.45,10.576,10.75,0.17,-0.673,-1.0,0.33,True,1.0,True,0.0,4,1,PASS,0.9972,552.98
pair_005,Set A,gen_005,1,1,461.0,464.0,460.36,463.73,0.69,11.667,11.75,0.08,-4.742,-5.0,0.26,True,1.0,True,0.71,2,1,PASS,0.9871,533.52
pair_006,Set A,gen_006,1,1,328.0,710.0,327.7,711.3,1.33,8.851,9.0,0.15,0.804,1.0,0.2,True,0.0,True,0.0,17,1,PASS,0.9928,585.98
pair_007,Set A,gen_007,1,1,501.0,458.0,501.39,457.43,0.69,11.655,11.75,0.1,-1.253,-1.0,0.25,True,1.0,True,0.71,1,1,PASS,0.9956,434.11
pair_008,Set A,gen_008,1,1,373.0,619.0,372.2,619.76,1.1,10.105,10.25,0.14,-4.475,-4.0,0.47,True,0.0,True,0.0,5,1,PASS,0.9952,566.96
pair_009,Set A,gen_009,1,1,443.0,487.0,441.7,488.3,1.84,11.142,11.0,0.14,3.669,3.5,0.17,True,0.0,True,0.71,2,1,PASS,0.9957,484.78
pair_010,Set A,gen_010,1,1,454.0,550.0,453.2,549.2,1.13,10.236,10.25,0.01,1.803,1.5,0.3,True,0.0,True,0.0,1,1,PASS,0.9984,533.3
pair_011,Set A,gen_011,1,1,503.0,469.0,503.24,468.05,0.98,9.137,9.25,0.11,-4.612,-5.0,0.39,True,0.0,True,0.71,3,1,PASS,0.9954,562.39
pair_012,Set A,gen_012,1,1,498.0,310.0,497.2,309.2,1.13,9.951,10.0,0.05,-1.617,-1.5,0.12,True,0.0,True,0.0,2,1,PASS,0.9973,544.7
pair_013,Set A,gen_013,1,1,479.0,703.0,763.2,418.7,401.99,9.051,10.0,0.95,3.818,0.0,3.82,True,0.0,True,0.0,3,2,C,0.9991,564.32
pair_014,Set A,gen_014,1,1,339.0,525.0,623.2,620.67,299.87,9.599,10.0,0.4,3.055,0.0,3.06,True,0.0,True,0.0,11,2,C,0.9991,590.25
pair_015,Set A,gen_015,1,1,501.0,375.0,500.38,660.8,285.8,9.086,10.0,0.91,-3.699,0.0,3.7,True,0.0,True,0.0,3,2,C,0.9991,572.14
pair_016,Set A,gen_016,1,1,314.0,496.0,884.42,496.8,570.42,9.583,10.0,0.42,-3.474,0.0,3.47,True,1.41,True,0.71,2,2,C,0.9991,529.76
pair_017,Set A,gen_017,1,1,475.0,303.0,474.7,303.63,0.7,9.732,9.75,0.02,-4.517,-4.0,0.52,True,0.0,True,0.0,7,1,PASS,0.99,535.79
pair_018,Set A,gen_018,1,1,489.0,517.0,488.71,516.7,0.42,11.437,11.75,0.31,-4.138,-4.0,0.14,True,0.0,True,0.71,1,1,PASS,0.9916,468.57
pair_019,Set A,gen_019,1,1,453.0,515.0,453.3,514.8,0.36,10.857,11.0,0.14,0.7,1.0,0.3,True,0.0,True,0.0,18,1,PASS,0.9936,502.62
pair_020,Set A,gen_020,1,1,479.0,331.0,478.7,330.97,0.3,8.081,8.0,0.08,-1.047,-1.0,0.05,True,0.0,True,0.0,20,1,PASS,0.9914,564.98
pair_021,Set A,gen_021,1,1,479.0,482.0,479.8,482.53,0.96,9.068,9.25,0.18,0.115,0.0,0.12,True,1.0,True,0.0,1,1,PASS,0.9908,550.0
pair_022,Set A,gen_022,1,1,534.0,323.0,534.8,324.3,1.53,10.146,10.25,0.1,3.758,3.5,0.26,True,1.0,True,0.0,3,1,PASS,0.9977,496.65
pair_023,Set A,gen_023,1,1,513.0,482.0,513.3,481.62,0.48,8.637,8.75,0.11,3.763,3.5,0.26,True,1.0,True,0.0,1,1,PASS,0.9921,548.93
pair_024,Set A,gen_024,1,1,473.0,324.0,473.06,323.44,0.56,11.979,12.0,0.02,0.983,1.0,0.02,True,1.0,True,0.71,1,1,PASS,0.9899,463.7
pair_025,Set A,gen_025,1,1,484.0,537.0,482.7,538.3,1.84,9.678,9.75,0.07,-4.305,-4.0,0.3,True,1.0,True,0.0,6,1,PASS,0.9986,533.28
pair_026,Set A,gen_026,1,1,526.0,293.0,527.3,292.7,1.33,8.955,9.0,0.04,-0.249,0.0,0.25,True,1.0,True,0.0,5,1,PASS,0.9985,567.1
pair_027,Set A,gen_027,1,1,487.0,490.0,486.8,491.8,1.81,10.295,10.25,0.04,4.625,5.0,0.38,True,1.0,True,0.0,5,1,PASS,0.9959,583.44
pair_028,Set A,gen_028,1,1,515.0,292.0,514.2,292.76,1.1,8.782,8.75,0.03,-3.325,-3.5,0.17,True,1.0,True,0.0,1,1,PASS,0.9793,611.41
