pair_id,set,gen_id,gt_found,base_pred_found,exp19_pred_found,gt_x,gt_y,base_pred_x,base_pred_y,exp19_pred_x,exp19_pred_y,base_loc_err,exp19_loc_err,is_triggered,base_score,exp19_score,runtime_ms
pair_001,Set A,gen_001,1,1,1,656.0,366.0,655.7,366.3,655.7,366.3,0.4242640687119044,0.4242640687119044,False,0.9988,0.9988,532.89
pair_002,Set A,gen_002,1,1,1,686.0,352.0,687.3,353.3,687.3,353.3,1.8384776310849993,1.8384776310849993,True,0.9988,0.9988,333.42
pair_003,Set A,gen_003,1,1,1,471.0,528.0,469.7,527.7,469.7,527.7,1.3341664064126342,1.3341664064126342,False,0.9989,0.9989,550.62
pair_004,Set A,gen_004,1,1,1,376.0,667.0,375.55,666.96,375.55,666.96,0.45177427992304614,0.45177427992304614,False,0.9985,0.9985,549.96
pair_005,Set A,gen_005,1,1,1,461.0,464.0,460.36,463.73,460.36,463.73,0.6946221994724706,0.6946221994724706,False,0.9978,0.9978,516.71
pair_006,Set A,gen_006,1,1,1,328.0,710.0,327.7,711.3,327.7,711.3,1.3341664064125915,1.3341664064125915,False,0.9978,0.9978,621.03
pair_007,Set A,gen_007,1,1,1,501.0,458.0,501.39,457.43,501.35,458.28,0.690651865993267,0.4482186966203001,True,0.9984,0.9983,279.7
pair_008,Set A,gen_008,1,1,1,373.0,619.0,372.2,619.76,372.2,619.76,1.1034491379306997,1.1034491379306997,False,0.9983,0.9983,587.4
pair_009,Set A,gen_009,1,1,1,443.0,487.0,441.7,488.3,441.7,488.3,1.8384776310850397,1.8384776310850397,True,0.9988,0.9988,547.74
pair_010,Set A,gen_010,1,1,1,454.0,550.0,453.2,549.2,453.2,549.2,1.131370849898452,1.131370849898452,True,0.999,0.999,379.18
pair_011,Set A,gen_011,1,1,1,503.0,469.0,503.24,468.05,503.24,468.05,0.9798469268207064,0.9798469268207064,False,0.9984,0.9984,548.33
pair_012,Set A,gen_012,1,1,1,498.0,310.0,497.2,309.2,497.2,309.2,1.1313708498984922,1.1313708498984922,False,0.999,0.999,535.44
