architecture,total_samples,top1_recall_pct,top5_recall_pct,top10_recall_pct,mean_dist_to_gt
Round1_Arch_Folder_001,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_002,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_003,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_004,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_005,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_006,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_007,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_008,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_009,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_010,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_011,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_012,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_013,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_014,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_015,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_016,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_017,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_018,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_019,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_020,4,0.0,0.0,0.0,999.0
Round1_Arch_Folder_021,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_022,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_023,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_024,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_025,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_026,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_027,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_028,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_029,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_030,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_031,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_032,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_033,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_034,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_035,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_036,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_037,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_038,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_039,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_040,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_041,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_042,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_043,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_044,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_045,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_046,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_047,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_048,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_049,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_050,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_051,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_052,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_053,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_054,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_055,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_056,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_057,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_058,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_059,2,0.0,0.0,0.0,999.0
Round1_Arch_Folder_060,2,0.0,0.0,0.0,999.0
