dataset,method,loc_score,scale_score,rotation_score,rejection_score,confidence_score,efficiency_score,total_score,set_a_5px,set_b_5px,median_rt_ms,p90_rt_ms,p95_rt_ms,max_rt_ms
DS2_60Gen,NCC_First_Baseline,16.73,4.66,6.16,13.56,9.82,5.0,55.91,64.3,34.3,1094.8,1312.9,1376.4,1871.4
DS2_60Gen,Context_Gray_150,16.21,4.59,5.81,13.56,9.82,5.0,54.99,61.4,34.3,1094.8,1312.9,1376.4,1871.4
DS2_60Gen,Context_Gray_200,15.95,4.47,5.91,13.56,9.82,5.0,54.71,60.0,34.3,1094.8,1312.9,1376.4,1871.4
DS2_60Gen,Context_Gray_300,16.42,4.62,6.06,13.56,9.83,5.0,55.49,62.9,34.3,1094.8,1312.9,1376.4,1871.4
DS2_60Gen,Context_Edge_150,14.76,4.25,5.56,13.56,9.82,5.0,52.95,57.1,31.4,1094.8,1312.9,1376.4,1871.4
DS2_60Gen,Context_Edge_200,15.39,4.44,5.66,13.56,9.82,5.0,53.86,57.1,34.3,1094.8,1312.9,1376.4,1871.4
DS2_60Gen,Context_Combined_MultiScale,15.39,4.41,5.59,13.56,9.82,5.0,53.76,57.1,34.3,1094.8,1312.9,1376.4,1871.4
DS1_Generic,NCC_First_Baseline,21.54,7.01,9.09,13.67,9.06,5.0,65.38,97.1,20.0,383.2,433.3,445.3,461.7
DS1_Generic,Context_Gray_150,21.54,7.06,9.19,13.58,9.04,5.0,65.41,97.1,20.0,383.2,433.3,445.3,461.7
DS1_Generic,Context_Gray_200,21.54,7.06,9.16,13.62,9.06,5.0,65.44,97.1,20.0,383.2,433.3,445.3,461.7
DS1_Generic,Context_Gray_300,21.54,7.06,9.16,13.62,9.06,5.0,65.44,97.1,20.0,383.2,433.3,445.3,461.7
DS1_Generic,Context_Edge_150,21.54,7.06,9.05,13.62,9.03,5.0,65.3,97.1,20.0,383.2,433.3,445.3,461.7
DS1_Generic,Context_Edge_200,21.67,7.03,9.16,13.62,9.04,5.0,65.51,97.1,21.4,383.2,433.3,445.3,461.7
DS1_Generic,Context_Combined_MultiScale,21.67,7.03,9.05,13.62,9.03,5.0,65.4,97.1,21.4,383.2,433.3,445.3,461.7
