dataset,method,loc_score,scale_score,rotation_score,rejection_score,confidence_score,efficiency_score,total_score,set_a_5px,set_b_5px,median_rt_ms,p90_rt_ms,p95_rt_ms,max_rt_ms
DS2_60Gen,NCC_First_Baseline,16.73,4.66,6.16,13.56,9.82,5.0,55.91,64.3,34.3,428.8,476.5,483.3,516.4
DS2_60Gen,Spatial_Context_W150,16.47,4.75,6.0,13.56,9.83,5.0,55.6,62.9,34.3,428.8,476.5,483.3,516.4
DS2_60Gen,Spatial_Context_W200,16.42,4.56,6.06,13.56,9.83,5.0,55.43,62.9,34.3,428.8,476.5,483.3,516.4
DS2_60Gen,Spatial_Context_W300,16.67,4.66,6.09,13.56,9.82,5.0,55.81,64.3,34.3,428.8,476.5,483.3,516.4
DS2_60Gen,Spatial_Context_MultiRing_Combined,16.42,4.56,6.03,13.56,9.83,5.0,55.4,62.9,34.3,428.8,476.5,483.3,516.4
DS1_Generic,NCC_First_Baseline,21.54,7.01,9.09,13.67,9.06,5.0,65.38,97.1,20.0,427.8,478.2,490.1,511.6
DS1_Generic,Spatial_Context_W150,21.61,7.01,9.13,13.67,9.06,5.0,65.48,97.1,21.4,427.8,478.2,490.1,511.6
DS1_Generic,Spatial_Context_W200,21.43,7.01,9.13,13.67,9.06,5.0,65.3,97.1,20.0,427.8,478.2,490.1,511.6
DS1_Generic,Spatial_Context_W300,21.54,6.98,9.09,13.67,9.06,5.0,65.35,97.1,20.0,427.8,478.2,490.1,511.6
DS1_Generic,Spatial_Context_MultiRing_Combined,21.43,7.01,9.13,13.67,9.04,5.0,65.28,97.1,20.0,427.8,478.2,490.1,511.6
