dataset,strategy,loc_score,scale_score,rotation_score,rejection_score,confidence_score,efficiency_score,total_score,set_a_5px,set_b_5px,median_rt_ms,p90_rt_ms,p95_rt_ms,max_rt_ms
DS2_60Gen,A_Baseline_Hybrid,15.83,4.28,5.75,13.45,9.82,5.0,54.13,61.4,32.9,457.9,516.6,533.2,567.4
DS2_60Gen,B_NCC_Only,17.87,4.75,6.47,13.33,9.92,5.0,57.34,67.1,37.1,457.9,516.6,533.2,567.4
DS2_60Gen,C_Siamese_Only,13.13,2.95,3.54,14.09,9.41,5.0,48.12,54.3,28.6,457.9,516.6,533.2,567.4
DS2_60Gen,D_NCC_First_Verifier,17.87,4.75,6.47,14.04,9.83,5.0,57.95,67.1,37.1,457.9,516.6,533.2,567.4
DS2_60Gen,E_NCC_First_Guard,17.61,4.69,6.41,14.04,9.83,5.0,57.57,65.7,37.1,457.9,516.6,533.2,569.4
DS2_60Gen,F_NCC_First_Ambiguity,15.06,4.12,5.62,13.45,9.82,5.0,53.08,57.1,32.9,457.9,516.6,533.2,567.4
DS1_Generic,A_Baseline_Hybrid,21.07,6.79,8.61,13.73,9.05,5.0,64.24,95.7,20.0,452.4,516.1,532.7,565.6
DS1_Generic,B_NCC_Only,22.14,6.72,9.31,13.33,9.22,5.0,65.73,100.0,21.4,452.4,516.1,532.7,565.6
DS1_Generic,C_Siamese_Only,10.35,5.2,4.52,12.65,8.33,5.0,46.05,45.7,11.4,452.4,516.1,532.7,565.6
DS1_Generic,D_NCC_First_Verifier,21.63,7.1,9.66,13.59,9.0,5.0,65.98,98.6,20.0,452.4,516.1,532.7,565.6
DS1_Generic,E_NCC_First_Guard,21.63,7.1,9.66,13.59,9.0,5.0,65.98,98.6,20.0,452.4,516.1,532.7,565.6
DS1_Generic,F_NCC_First_Ambiguity,21.07,6.79,8.61,13.73,9.05,5.0,64.24,95.7,20.0,452.4,516.1,532.7,565.6
