dataset,pair_id,set,gen_id,gt_x,gt_y,gt_theta,gt_scale,gt_found,pred_x,pred_y,pred_theta,pred_scale,pred_found,pred_score,loc_err_px,scale_err,theta_err_deg,gt_in_top5,runtime_ms
ds2_60gen,pair_001,Set A,gen_001,656.0,366.0,-0.385,8.925,1,655.7,366.3,-1.0,9.0,1,0.9971,0.42,0.07,0.61,True,585.44
ds2_60gen,pair_002,Set A,gen_002,686.0,352.0,4.21,9.875,1,687.3,353.3,4.0,9.75,1,0.9987,1.84,0.12,0.21,True,636.74
ds2_60gen,pair_003,Set A,gen_003,471.0,528.0,-0.273,10.763,1,260.44,528.33,0.0,10.0,1,0.9963,210.56,0.76,0.27,False,516.54
ds2_60gen,pair_004,Set A,gen_004,376.0,667.0,-0.673,10.576,1,376.52,736.64,0.0,10.0,1,0.9955,69.64,0.58,0.67,True,543.67
ds2_60gen,pair_005,Set A,gen_005,461.0,464.0,-4.742,11.667,1,611.71,364.8,0.0,10.0,1,0.9986,180.43,1.67,4.74,False,504.67
ds2_60gen,pair_006,Set A,gen_006,328.0,710.0,0.804,8.851,1,127.7,110.75,0.0,10.0,1,0.9987,631.84,1.15,0.8,False,583.31
ds2_60gen,pair_007,Set A,gen_007,501.0,458.0,-1.253,11.655,1,501.39,457.43,-1.0,11.75,1,0.9765,0.69,0.1,0.25,True,432.97
ds2_60gen,pair_008,Set A,gen_008,373.0,619.0,-4.475,10.105,1,373.2,619.2,-3.5,10.25,1,0.9964,0.28,0.14,0.97,True,569.19
ds2_60gen,pair_009,Set A,gen_009,443.0,487.0,3.669,11.142,1,482.97,166.2,0.0,10.0,1,0.9991,323.28,1.14,3.67,False,517.97
ds2_60gen,pair_010,Set A,gen_010,454.0,550.0,1.803,10.236,1,453.2,549.2,1.5,10.25,1,0.9975,1.13,0.01,0.3,True,503.53
ds2_60gen,pair_011,Set A,gen_011,503.0,469.0,-4.612,9.137,1,337.65,633.2,0.0,10.0,1,0.9991,233.03,0.86,4.61,False,516.91
ds2_60gen,pair_012,Set A,gen_012,498.0,310.0,-1.617,9.951,1,827.52,640.8,0.0,10.0,1,0.9991,466.92,0.05,1.62,True,555.31
ds2_60gen,pair_013,Set A,gen_013,479.0,703.0,3.818,9.051,1,763.2,418.7,0.0,10.0,1,0.9991,401.99,0.95,3.82,False,567.05
ds2_60gen,pair_014,Set A,gen_014,339.0,525.0,3.055,9.599,1,623.2,620.67,0.0,10.0,1,0.9991,299.87,0.4,3.06,False,597.38
ds2_60gen,pair_015,Set A,gen_015,501.0,375.0,-3.699,9.086,1,500.38,660.8,0.0,10.0,1,0.9991,285.8,0.91,3.7,False,550.19
ds2_60gen,pair_016,Set A,gen_016,314.0,496.0,-3.474,9.583,1,884.42,496.8,0.0,10.0,1,0.9991,570.42,0.42,3.47,True,573.1
ds2_60gen,pair_017,Set A,gen_017,475.0,303.0,-4.517,9.732,1,538.46,231.8,0.0,10.0,1,0.9969,95.38,0.27,4.52,True,531.6
ds2_60gen,pair_018,Set A,gen_018,489.0,517.0,-4.138,11.437,1,840.2,157.8,0.0,10.0,1,0.9984,502.36,1.44,4.14,False,481.09
ds2_60gen,pair_019,Set A,gen_019,453.0,515.0,0.7,10.857,1,452.2,515.25,1.0,10.25,1,0.9321,0.84,0.61,0.3,True,534.65
ds2_60gen,pair_020,Set A,gen_020,479.0,331.0,-1.047,8.081,1,95.8,331.8,0.0,10.0,1,0.9981,383.2,1.92,1.05,False,516.63
ds2_60gen,pair_021,Set A,gen_021,479.0,482.0,0.115,9.068,1,334.85,242.8,0.0,10.0,1,0.9981,279.28,0.93,0.12,False,586.84
ds2_60gen,pair_022,Set A,gen_022,534.0,323.0,3.758,10.146,1,102.8,442.46,0.0,10.0,1,0.9982,447.44,0.15,3.76,False,483.93
ds2_60gen,pair_023,Set A,gen_023,513.0,482.0,3.763,8.637,1,641.8,482.08,0.0,10.0,1,0.9981,128.8,1.36,3.76,False,617.78
ds2_60gen,pair_024,Set A,gen_024,473.0,324.0,0.983,11.979,1,473.06,323.44,1.0,12.0,1,0.9912,0.56,0.02,0.02,True,433.08
ds2_60gen,pair_025,Set A,gen_025,484.0,537.0,-4.305,9.678,1,483.8,537.8,-4.0,10.0,1,0.9962,0.82,0.32,0.3,True,566.59
ds2_60gen,pair_026,Set A,gen_026,526.0,293.0,-0.249,8.955,1,523.7,288.3,-5.0,11.0,1,0.9923,5.23,2.04,4.75,True,583.4
