pair_id,generator,set,gt_x,gt_y,pred_x,pred_y,gt_coarse_rank,gt_siamese_rank,gt_fused_rank,selected_coarse_rank,selected_x,selected_y,ncc_score_gt,siamese_score_gt,fused_score_gt,ncc_score_selected,siamese_score_selected,fused_score_selected,selection_failure,refinement_failure
pair_001,gen_001,Set A,656.0,366.0,655.7,366.3,1,1,1,1,656.5,365.5,0.9722,0.9989,0.9856,0.9722,0.9989,0.9856,0,0
pair_002,gen_002,Set A,686.0,352.0,687.3,353.3,1,1,1,1,686.5,352.5,0.9698,0.9986,0.9842,0.9698,0.9986,0.9842,0,0
pair_003,gen_003,Set A,471.0,528.0,469.7,527.7,1,1,1,1,470.5,528.5,0.9865,0.9094,0.948,0.9865,0.9094,0.948,0,0
pair_004,gen_004,Set A,376.0,667.0,375.2,667.8,1,1,1,1,376.0,667.0,0.8955,0.9473,0.9214,0.8955,0.9473,0.9214,0,0
pair_005,gen_005,Set A,461.0,464.0,611.7100219726562,364.8,2,10,7,1,611.0,364.0,0.8196,0.7579,0.7888,0.9529,0.9813,0.9671,1,0
pair_006,gen_006,Set A,328.0,710.0,127.69999694824219,110.75,2,19,13,1,128.0,110.0,0.9217,0.7383,0.83,0.9562,0.9921,0.9742,1,0
pair_007,gen_007,Set A,501.0,458.0,501.3900146484375,457.42999267578125,1,1,1,1,501.5,457.5,0.9261,0.8184,0.8722,0.9261,0.8184,0.8722,0,0
pair_008,gen_008,Set A,373.0,619.0,372.2,619.760009765625,1,1,1,1,373.0,620.0,0.9238,0.8037,0.8637,0.9238,0.8037,0.8637,0,0
pair_009,gen_009,Set A,443.0,487.0,482.9700012207031,166.2,1,19,10,1,483.0,167.0,0.9564,0.8563,0.9063,1.0,1.0,1.0,1,0
pair_010,gen_010,Set A,454.0,550.0,453.2,549.2,1,1,1,1,454.0,550.0,0.9961,0.9173,0.9567,0.9961,0.9173,0.9567,0,0
pair_011,gen_011,Set A,503.0,469.0,337.6499938964844,633.2,2,20,15,1,338.0,634.0,0.9253,0.8124,0.8688,0.9999,0.9997,0.9998,1,0
pair_012,gen_012,Set A,498.0,310.0,827.52001953125,640.8,2,16,6,1,828.0,640.0,0.9948,0.8283,0.9115,1.0,0.9998,0.9999,1,0
pair_013,gen_013,Set A,479.0,703.0,763.2,418.70001220703125,2,28,7,1,764.0,418.0,0.9408,0.8833,0.9121,1.0,0.9999,0.9999,1,0
pair_014,gen_014,Set A,339.0,525.0,623.2,620.6699829101562,2,12,4,1,624.0,620.0,0.9476,0.9111,0.9294,1.0,1.0,1.0,1,0
pair_015,gen_015,Set A,501.0,375.0,500.3800048828125,660.8,1,19,18,1,501.0,660.0,0.9614,0.8032,0.8823,1.0,0.9997,0.9999,1,0
pair_016,gen_016,Set A,314.0,496.0,884.4199829101562,496.8,4,11,4,1,884.0,496.0,0.9716,0.9746,0.9731,1.0,1.0,1.0,1,0
pair_017,gen_017,Set A,475.0,303.0,474.7,303.6300048828125,1,1,1,1,475.5,303.5,0.9863,0.6188,0.8025,0.9863,0.6188,0.8025,0,0
pair_018,gen_018,Set A,489.0,517.0,488.7099914550781,516.7,1,1,1,1,489.5,517.5,0.9365,0.6995,0.818,0.9365,0.6995,0.818,0,0
pair_019,gen_019,Set A,453.0,515.0,452.2,515.25,1,1,1,1,453.0,515.0,0.8731,0.8304,0.8517,0.8731,0.8304,0.8517,0,0
pair_020,gen_020,Set A,479.0,331.0,478.7,330.9700012207031,1,1,1,1,479.5,330.5,0.9552,0.6764,0.8158,0.9552,0.6764,0.8158,0,0
pair_021,gen_021,Set A,479.0,482.0,479.8,482.5299987792969,1,1,1,1,479.0,482.0,0.9634,0.6568,0.8101,0.9634,0.6568,0.8101,0,0
pair_022,gen_022,Set A,534.0,323.0,534.8,324.29998779296875,1,1,1,1,534.0,324.0,0.9651,0.8887,0.9269,0.9651,0.8887,0.9269,0,0
pair_023,gen_023,Set A,513.0,482.0,513.2999877929688,481.6199951171875,1,1,1,1,513.0,482.0,0.9369,0.7079,0.8224,0.9369,0.7079,0.8224,0,0
pair_024,gen_024,Set A,473.0,324.0,473.1099853515625,323.69000244140625,1,1,1,1,472.5,323.5,0.8058,0.808,0.8069,0.8058,0.808,0.8069,0,0
pair_025,gen_025,Set A,484.0,537.0,482.7,538.3,1,1,1,1,483.5,537.5,0.9955,0.9409,0.9682,0.9955,0.9409,0.9682,0,0
pair_026,gen_026,Set A,526.0,293.0,527.3,292.7,1,1,1,1,526.5,293.5,0.9723,0.9494,0.9609,0.9723,0.9494,0.9609,0,0
pair_027,gen_027,Set A,487.0,490.0,927.8,169.2,2,16,7,1,927.0,170.0,0.9157,0.8414,0.8785,0.97,0.9247,0.9474,1,0
pair_028,gen_028,Set A,515.0,292.0,75.8,227.2,2,28,24,1,75.0,228.0,0.9876,0.4949,0.7412,0.9597,0.9515,0.9556,1,0
pair_029,gen_029,Set A,510.0,535.0,482.8,679.8,1,28,20,1,482.0,679.0,0.9621,0.7055,0.8338,0.9764,0.9124,0.9444,1,0
pair_030,gen_030,Set A,492.0,349.0,491.2,348.5400085449219,2,1,1,1,492.0,349.0,0.972,0.8887,0.9303,0.972,0.8887,0.9303,0,0
pair_031,gen_031,Set A,521.0,537.0,520.989990234375,537.8,1,1,1,1,521.0,537.0,0.9629,0.9484,0.9556,0.9629,0.9484,0.9556,0,0
pair_032,gen_032,Set A,471.0,318.0,471.25,317.7,1,1,1,1,470.5,318.5,0.9916,0.6179,0.8048,0.9916,0.6179,0.8048,0,0
pair_033,gen_033,Set A,467.0,481.0,466.20001220703125,480.7,1,1,1,1,466.5,481.5,0.9756,0.8491,0.9123,0.9756,0.8491,0.9123,0,0
pair_034,gen_034,Set A,473.0,335.0,472.7,333.7,1,1,1,1,473.5,334.5,0.981,0.9681,0.9746,0.981,0.9681,0.9746,0,0
pair_035,gen_035,Set A,532.0,509.0,297.2,301.010009765625,1,23,5,1,298.0,301.0,0.9786,0.9589,0.9687,0.9921,0.9996,0.9958,1,0
pair_036,gen_036,Set A,495.0,303.0,494.2,303.8,1,12,2,1,365.0,277.0,0.9951,0.9943,0.9947,0.9927,0.9994,0.996,1,0
pair_037,gen_037,Set A,507.0,471.0,508.3,472.3,1,24,2,1,75.0,879.0,0.9922,0.9438,0.968,0.9584,0.9818,0.9701,1,0
pair_038,gen_038,Set A,462.0,330.0,462.3,331.3,2,10,2,1,222.0,498.0,0.9578,0.9567,0.9572,0.9384,0.9823,0.9604,1,0
pair_039,gen_039,Set A,482.0,475.0,483.3,473.7,1,1,1,1,482.5,474.5,0.9455,0.8153,0.8804,0.9455,0.8153,0.8804,0,0
pair_040,gen_040,Set A,535.0,311.0,534.2,309.2,1,1,1,1,535.0,310.0,0.9657,0.9119,0.9388,0.9657,0.9119,0.9388,0,0
pair_041,gen_041,Set A,462.0,496.0,461.7,494.7,2,1,1,1,462.5,495.5,0.9455,0.8913,0.9184,0.9455,0.8913,0.9184,0,0
pair_042,gen_042,Set A,486.0,305.0,485.2,304.2,1,1,1,1,486.0,305.0,0.9378,0.9445,0.9412,0.9378,0.9445,0.9412,0,0
pair_043,gen_043,Set A,537.0,494.0,465.8,637.2,2,1,9,1,465.0,638.0,0.8641,0.8553,0.8597,0.9737,0.8241,0.8989,1,0
pair_044,gen_044,Set A,464.0,307.0,462.7,307.3500061035156,1,1,1,1,463.5,307.5,0.9923,0.8863,0.9393,0.9923,0.8863,0.9393,0,0
pair_045,gen_045,Set A,517.0,524.0,516.2,523.2,1,1,1,1,517.0,524.0,0.9642,0.9727,0.9685,0.9642,0.9727,0.9685,0,0
