pair_id,set,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,runtime_ms
p001,Set A,1,1,670.625,454.754,671.3,454.25,0.842401923074703,8.025,8.0,0.025000000000000355,1.828,2.25,0.42199999999999993,0.9985,700.1640796661377
p002,Set A,1,1,743.676,624.792,534.2,514.2,236.8771517896988,9.962,10.0,0.038000000000000256,-1.759,0.0,1.759,0.999,785.1557731628418
p003,Set A,1,1,452.456,486.442,451.2,485.2,1.7663804799646416,8.544,8.9,0.35599999999999987,1.242,2.25,1.008,0.9774,710.7017040252686
p004,Set A,1,1,586.507,384.594,785.8,294.2,218.83504080699691,11.527,10.0,1.5269999999999992,-4.099,-0.25,3.849,0.999,654.2189121246338
p005,Set A,1,1,275.252,577.844,667.2,413.2,425.1245481503039,10.49,10.0,0.4900000000000002,3.99,0.0,3.99,0.999,683.650016784668
p006,Set A,1,1,320.213,468.665,320.8,468.92,0.6399953124828219,11.88,11.9,0.019999999999999574,-1.344,-2.25,0.9059999999999999,0.9987,667.8752899169922
p007,Set A,1,1,507.0,492.158,507.3,492.26,0.3168659022362643,9.631,9.9,0.26900000000000013,-1.679,-4.75,3.0709999999999997,0.9976,716.1333560943604
p008,Set A,1,1,506.136,381.201,506.8,380.88,0.7375208471629802,11.052,11.1,0.04800000000000004,-1.179,-0.25,0.929,0.9987,683.4197044372559
p009,Set A,1,1,616.475,671.959,615.71,671.22,1.0636474979991535,8.469,8.9,0.43100000000000094,2.722,2.75,0.028000000000000025,0.9981,711.2154960632324
p010,Set A,1,1,372.128,273.144,372.8,273.8,0.9391059578130905,10.922,10.9,0.02200000000000024,-0.205,0.0,0.205,0.9989,637.8724575042725
p011,Set A,1,1,657.77,509.443,451.8,450.2,214.32072683014118,8.772,10.0,1.2279999999999998,-2.146,-0.25,1.896,0.999,700.9735107421875
p012,Set A,1,1,733.494,676.633,463.2,464.79,343.4185537867749,8.372,10.0,1.6280000000000001,-0.061,0.25,0.311,0.999,666.8810844421387
p013,Set A,1,1,620.677,674.949,479.2,499.2,225.6179348589114,8.276,10.0,1.7240000000000002,-2.348,-0.25,2.098,0.999,648.0264663696289
p014,Set A,1,1,559.854,439.078,480.99,483.19,90.36259757222568,10.579,11.9,1.3209999999999997,-1.962,-2.5,0.538,0.998,652.0986557006836
