dataset,top_k,candidate_recall_5px,candidate_recall_10px,candidate_recall_20px,candidate_recall_50px,localization_score,scale_score,rotation_score,rejection_score,confidence_score,efficiency_score,total_score,set_a_5px_acc,set_b_5px_acc,median_runtime_ms,p90_runtime_ms,p95_runtime_ms,max_runtime_ms
DS2_60Gen,5,75.0,80.62,90.62,100.0,14.25,4.28,5.75,13.45,9.82,5.0,52.54,61.43,37.14,367.9,410.5,425.9,471.6
DS2_60Gen,10,75.0,80.62,90.62,100.0,14.38,4.38,5.75,13.37,9.77,5.0,52.65,62.86,35.71,515.9,566.7,583.6,632.8
DS2_60Gen,15,75.0,80.62,90.62,100.0,14.38,4.34,5.75,13.37,9.77,5.0,52.61,62.86,35.71,636.4,704.6,717.1,783.5
DS2_60Gen,20,75.0,80.62,90.62,100.0,14.25,4.28,5.78,13.37,9.75,5.0,52.43,62.86,34.29,783.2,838.2,860.9,907.9
DS2_60Gen,30,75.0,80.62,90.62,100.0,14.25,4.28,5.78,13.37,9.74,5.0,52.43,62.86,34.29,885.3,961.1,969.7,1017.1
DS2_60Gen,40,75.0,80.62,90.62,100.0,14.25,4.28,5.78,13.37,9.74,5.0,52.43,62.86,34.29,899.9,950.5,966.3,1018.6
DS2_60Gen,50,75.0,80.62,90.62,100.0,14.25,4.28,5.78,13.37,9.74,5.0,52.43,62.86,34.29,889.3,949.9,966.9,1031.4
DS1_Generic,5,67.5,79.38,91.88,99.38,18.95,6.79,8.61,13.73,9.07,5.0,62.15,95.71,21.43,366.9,415.3,421.9,446.7
DS1_Generic,10,67.5,79.38,91.88,99.38,18.62,6.7,8.24,13.78,9.17,5.0,61.51,94.29,20.0,516.8,566.7,581.1,629.3
DS1_Generic,15,67.5,79.38,91.88,99.38,18.37,6.72,8.25,13.83,9.24,5.0,61.41,92.86,20.0,649.7,699.6,712.1,799.1
DS1_Generic,20,67.5,79.38,91.88,99.38,18.37,6.55,8.19,13.88,9.28,5.0,61.27,92.86,20.0,783.5,833.5,850.4,934.9
DS1_Generic,30,67.5,79.38,91.88,99.38,18.37,6.52,8.19,13.88,9.29,5.0,61.24,92.86,20.0,900.0,950.7,971.4,1032.6
DS1_Generic,40,67.5,79.38,91.88,99.38,18.37,6.52,8.19,13.88,9.29,5.0,61.24,92.86,20.0,911.7,958.7,981.9,1044.6
DS1_Generic,50,67.5,79.38,91.88,99.38,18.37,6.52,8.19,13.88,9.29,5.0,61.24,92.86,20.0,907.7,951.9,968.2,1032.5
