top_k,pair_id,generator_id,set,loc_err_px,success_5px
5,pair_006,gen_006,Set A,631.84,0
5,pair_010,gen_010,Set A,1.13,1
5,pair_056,gen_056,Set A,0.42,1
5,pair_066,gen_006,Set A,739.29,0
5,pair_070,gen_010,Set A,1.84,1
5,pair_116,gen_056,Set B,33.92,0
5,pair_126,gen_006,Set B,36.86,0
5,pair_130,gen_010,Set B,1.13,1
5,pair_186,gen_006,Set D,670.41,0
5,pair_190,gen_010,Set D,164.75,0
10,pair_006,gen_006,Set A,631.84,0
10,pair_010,gen_010,Set A,1.13,1
10,pair_056,gen_056,Set A,0.42,1
10,pair_066,gen_006,Set A,739.29,0
10,pair_070,gen_010,Set A,1.84,1
10,pair_116,gen_056,Set B,33.92,0
10,pair_126,gen_006,Set B,36.86,0
10,pair_130,gen_010,Set B,1.13,1
10,pair_186,gen_006,Set D,670.41,0
10,pair_190,gen_010,Set D,164.75,0
15,pair_006,gen_006,Set A,631.84,0
15,pair_010,gen_010,Set A,1.13,1
15,pair_056,gen_056,Set A,0.42,1
15,pair_066,gen_006,Set A,739.29,0
15,pair_070,gen_010,Set A,1.84,1
15,pair_116,gen_056,Set B,33.92,0
15,pair_126,gen_006,Set B,36.86,0
15,pair_130,gen_010,Set B,1.13,1
15,pair_186,gen_006,Set D,670.41,0
15,pair_190,gen_010,Set D,164.75,0
20,pair_006,gen_006,Set A,631.84,0
20,pair_010,gen_010,Set A,1.13,1
20,pair_056,gen_056,Set A,0.42,1
20,pair_066,gen_006,Set A,739.29,0
20,pair_070,gen_010,Set A,1.84,1
20,pair_116,gen_056,Set B,33.92,0
20,pair_126,gen_006,Set B,36.86,0
20,pair_130,gen_010,Set B,1.13,1
20,pair_186,gen_006,Set D,670.41,0
20,pair_190,gen_010,Set D,164.75,0
30,pair_006,gen_006,Set A,631.84,0
30,pair_010,gen_010,Set A,1.13,1
30,pair_056,gen_056,Set A,0.42,1
30,pair_066,gen_006,Set A,739.29,0
30,pair_070,gen_010,Set A,1.84,1
30,pair_116,gen_056,Set B,33.92,0
30,pair_126,gen_006,Set B,36.86,0
30,pair_130,gen_010,Set B,1.13,1
30,pair_186,gen_006,Set D,670.41,0
30,pair_190,gen_010,Set D,164.75,0
40,pair_006,gen_006,Set A,631.84,0
40,pair_010,gen_010,Set A,1.13,1
40,pair_056,gen_056,Set A,0.42,1
40,pair_066,gen_006,Set A,739.29,0
40,pair_070,gen_010,Set A,1.84,1
40,pair_116,gen_056,Set B,33.92,0
40,pair_126,gen_006,Set B,36.86,0
40,pair_130,gen_010,Set B,1.13,1
40,pair_186,gen_006,Set D,670.41,0
40,pair_190,gen_010,Set D,164.75,0
50,pair_006,gen_006,Set A,631.84,0
50,pair_010,gen_010,Set A,1.13,1
50,pair_056,gen_056,Set A,0.42,1
50,pair_066,gen_006,Set A,739.29,0
50,pair_070,gen_010,Set A,1.84,1
50,pair_116,gen_056,Set B,33.92,0
50,pair_126,gen_006,Set B,36.86,0
50,pair_130,gen_010,Set B,1.13,1
50,pair_186,gen_006,Set D,670.41,0
50,pair_190,gen_010,Set D,164.75,0
